"Unidad médica","Estado","Institución","CLUES","% de Ocupación"
"Los Mochis","Sinaloa","ISSSTE","SLIST000015","100"
"Instituto Nacional de Neurología Y Neurocirugía Manuel Velasco Suárez","Ciudad de México","SSA/CC","DFSSA004060","100"
"Hgz 2 Hermosillo","Sonora","IMSS","SRIMS000413","100"
"Hgs 33 Tizayuca","Hidalgo","IMSS","HGIMS000135","100"
"Hospital General Dr. Manuel Gea González","Ciudad de México","SSA/CC","DFSSA003961","100"
"Hospital Central Militar","Ciudad de México","SEDENA","DFSDN000086","100"
"Hospital General de Subzona No. 12","Sonora","IMSS","SRIMS000915","100"
"Presidente Benito Juarez","Oaxaca","ISSSTE","OCIST000112","100"
"Hospital General 450","Durango","SSA","DGSSA017872","100"
"Hgz 3 S. Juan del Rio","Querétaro","IMSS","QTIMS000186","100"
"Hgzmf 1 Cd. Víctoria","Tamaulipas","IMSS","TSIMS000380","100"
"Gral. Jose Maria Morelos Y Pavon","Ciudad de México","ISSSTE","DFIST000155","100"
"Hospital General Cd. Acuña","Coahuila de Zaragoza","SSA","CLSSA000033","100"
"Unidad Médica Regional de Atención A La Gestación Y Al Neonato","Hidalgo","SSA","HGSSA005003","100"
"Unidad Móvil Temporal Covid","Ciudad de México","IMSS","DFIMS001065","100"
"Hgzmf 6 Tepeji del Rio","Hidalgo","IMSS","HGIMS000123","100"
"Doctors Hospital","Nuevo León","SMP","NLSMP001085","100"
"Christus Muguerza S.a. de C.v. /  Sucursal Sur","Nuevo León","SMP","NLSMP000105","100"
"Christus Muguerza Hospiales S.a. de C.v. / Sucursal Conchita","Nuevo León","SMP","NLSMP000064","100"
"Christus Muguerza Monterrey S. A. de C. V.","Nuevo León","SMP","NLSMP000052","100"
"Hospital Militar Regional de Mérida Yuc.","Yucatán","SEDENA","YNSDN000014","100"
"Hgr 220 Toluca","México","IMSS","MCIMS000816","100"
"Toluca","México","ISSSTE","MCIST000215","100"
"Hospital General Navojoa","Sonora","SSA","SRSSA001670","100"
"Veracruz","Veracruz de Ignacio de La Llave","ISSSTE","VZIST000301","100"
"Hgz 27 Tlatelolco","Ciudad de México","IMSS","DFIMS000621","100"
"Hes Cmn Siglo Xxi","Ciudad de México","IMSS","DFIMS000580","100"
"Hospital Militar Regional de Guadalajara Jal.","Jalisco","SEDENA","JCSDN000010","100"
"Hgr 45 Guadalajara","Jalisco","IMSS","JCIMS000366","100"
"Tampico","Tamaulipas","ISSSTE","TSIST000182","100"
"Hospital General Milpa Alta","Ciudad de México","SSA","DFSSA002066","100"
"Hgzmf 1 Pachuca","Hidalgo","IMSS","HGIMS000082","100"
"Umf 45 San Luis Potosi","San Luis Potosí","IMSS","SPIMS000195","100"
"Hgzmf 2 San Luis Potosi","San Luis Potosí","IMSS","SPIMS000183","100"
"Dr. Aquiles Calles Ramirez","Nayarit","ISSSTE","NTIST000120","100"
"Gomez Palacio","Durango","ISSSTE","DGIST000054","100"
"Zimapan","Hidalgo","ISSSTE","HGIST000362","100"
"Hgz 71 Chalco","México","IMSS","MCIMS000145","100"
"San Luis Rio Colorado","Sonora","ISSSTE","SRIST000203","100"
"Centro Médico Issemym Lic. Arturo Montiel Rojas Issemym","México","SME","MCSME000921","98"
"Hgz 1 Carlos Mcgregor","Ciudad de México","IMSS","DFIMS000534","97"
"Hgr 251 Metepec","México","IMSS","MCIMS001185","96"
"Hospital General Regional No. 2 El Marques","Querétaro","IMSS","QTIMS000285","94"
"Hospital Central del Estado","Chihuahua","SSA","CHSSA000676","94"
"Hgz 32 Villa Coapa","Ciudad de México","IMSS","DFIMS000126","93"
"Hgzmf 8 Ensenada","Baja California","IMSS","BCIMS000011","93"
"Hospital General Ajusco Medio","Ciudad de México","SSA","DFSSA018166","93"
"Centro Médico Naval","Ciudad de México","SEMAR","DFSMA000010","92"
"Dr. Dario Fernandez Fierro","Ciudad de México","ISSSTE","DFIST000324","92"
"Hospital Real San José S.c","Jalisco","SMP","JCSMP000313","92"
"Bicentenario de La Independencia","México","ISSSTE","MCIST000425","91"
"Hgz No. 48 San Pedro Xalpa","Ciudad de México","IMSS","DFIMS000831","90"
"Hes 25 Monterrey","Nuevo León","IMSS","NLIMS000303","90"
"Hgzmf 1 San Luis Potosi","San Luis Potosí","IMSS","SPIMS000171","89"
"Lic. Adolfo Lopez Mateos","Ciudad de México","ISSSTE","DFIST000201","89"
"22/o. Batallón de   Infantería","Ciudad de México","SEDENA","DFSDN000103","89"
"Hgz 50 Tangamanga","San Luis Potosí","IMSS","SPIMS000376","87"
"Hospital General de México","Ciudad de México","SSA/CC","DFSSA003973","86"
"Hospital General Tula","Hidalgo","SSA","HGSSA015532","86"
"Hospital General de Zona No. 5","Sonora","IMSS","SRIMS000920","86"
"Hgz 7 Lagos de Moreno","Jalisco","IMSS","JCIMS001264","85"
"Centro Banamex","Ciudad de México","SSA","DFSSA004970","84"
"Hospital General Villa","Ciudad de México","SSA","DFSSA000881","83"
"Centro Médico Lic. Adolfo López Mateos","México","SSA","MCSSA010222","83"
"Hgz 57 La Quebrada","México","IMSS","MCIMS000874","83"
"5 de Diciembre","Baja California","ISSSTE","BCIST000040","83"
"Hgz 1a Venados","Ciudad de México","IMSS","DFIMS000522","82"
"Centenario Hospital Miguel Hidalgo","Aguascalientes","SSA","ASSSA001331","82"
"Morelia","Michoacán de Ocampo","ISSSTE","MNIST000120","81"
"Hospital Regional de Alta Especialidad de Oaxaca","Oaxaca","SSA/CC","OCSSA007483","81"
"Hg Cm La Raza","Ciudad de México","IMSS","DFIMS000061","80"
"Hgzmf 3 Salamanca","Guanajuato","IMSS","GTIMS000330","80"
"Hgz 58 Las Margaritas","México","IMSS","MCIMS000734","80"
"Hgz 47 Vicente Guerrero","Ciudad de México","IMSS","DFIMS000365","79"
"Hgr 110 Oblatos","Jalisco","IMSS","JCIMS000354","78"
"Hgz 30 Mexicali","Baja California","IMSS","BCIMS000122","78"
"Hgr 1 Chihuahua","Chihuahua","IMSS","CHIMS000136","78"
"Hgz 1 Aguascalientes","Aguascalientes","IMSS","ASIMS000021","78"
"Hospital Regional de Alta Especialidad Ixtapaluca","México","SSA/CC","MCSSA018786","78"
"19","Guanajuato","SSA","GTSSA002101","76"
"Hgz 21 Tepatitlan","Jalisco","IMSS","JCIMS000914","75"
"Hgz 1 Zacatecas","Zacatecas","IMSS","ZSIMS000353","75"
"Troncoso","Ciudad de México","IMSS","DFIMS000312","75"
"Hospital Y Clínica Oca","Nuevo León","SMP","NLSMP000122","75"
"Fundacion Santos Y de La Garza Evia Ibp","Nuevo León","SMP","NLSMP000023","75"
"Hgr 1 Tijuana","Baja California","IMSS","BCIMS000373","74"
"Hgzmf 21 Leon","Guanajuato","IMSS","GTIMS000243","73"
"Leon","Guanajuato","ISSSTE","GTIST000091","73"
