"Unidad médica","Estado","Institución","CLUES","% de Ocupación"
"Hgz 58 Las Margaritas","México","IMSS","MCIMS000734","100"
"22/o. Batallón de   Infantería","Ciudad de México","SEDENA","DFSDN000103","100"
"Tacuba","Ciudad de México","ISSSTE","DFIST000534","100"
"Coatzacoalcos","Veracruz de Ignacio de La Llave","ISSSTE","VZIST000062","100"
"Hgz 68 Tulpetlac","México","IMSS","MCIMS000990","100"
"Los Mochis","Sinaloa","ISSSTE","SLIST000015","100"
"Dr. Fernando Quiroz Gutierrez","Ciudad de México","ISSSTE","DFIST000196","100"
"Hospital Naval de Acapulco","Guerrero","SEMAR","GRSMA000015","100"
"Hospital General Dr. Raymundo Abarca Alarcón","Guerrero","SSA","GRSSA009950","100"
"Hospital Chiapas Nos Une Dr. Jesus Gilberto Gomez Maza","Chiapas","SSA","CSSSA019954","100"
"Lic. Adolfo Lopez Mateos","Ciudad de México","ISSSTE","DFIST000201","100"
"Hg Tehuantepec","Oaxaca","SSA","OCSSA018473","100"
"Hospital General de Minatitlan","Veracruz de Ignacio de La Llave","SSA","VZSSA003595","100"
"Hospital Regional de Alta Especialidad Ixtapaluca","México","SSA/CC","MCSSA018786","100"
"Hgzmf 32 Guasave","Sinaloa","IMSS","SLIMS000271","100"
"H.g. Texcoco Guadalupe Victoria Bicentenario","México","SSA","MCSSA018412","100"
"Gral. Jose Maria Morelos Y Pavon","Ciudad de México","ISSSTE","DFIST000155","100"
"Presidente Benito Juarez","Oaxaca","ISSSTE","OCIST000112","100"
"H.g. Jilotepec","México","SSA","MCSSA010053","100"
"Tampico","Tamaulipas","ISSSTE","TSIST000182","100"
"Hgz 1 Oaxaca","Oaxaca","IMSS","OCIMS000136","100"
"H.g. Dr. Maximiliano Ruíz Castañeda","México","SSA","MCSSA004074","100"
"Hgz 30 Mexicali","Baja California","IMSS","BCIMS000122","100"
"Hospital General de Tampico Dr. Carlos Canseco","Tamaulipas","SSA","TSSSA005151","100"
"Mazatlan","Sinaloa","ISSSTE","SLIST000196","100"
"Comitan de Dominguez","Chiapas","ISSSTE","CSIST000065","100"
"H.g. José Vicente Villada","México","SSA","MCSSA001636","100"
"Bicentenario de La Independencia","México","ISSSTE","MCIST000425","100"
"Hgz 1 Tlaxcala","Tlaxcala","IMSS","TLIMS000136","100"
"Dr. Belisario Dominguez","Chiapas","ISSSTE","CSIST000251","100"
"Hgz 57 La Quebrada","México","IMSS","MCIMS000874","100"
"Hospital General de  Boca del Rio","Veracruz de Ignacio de La Llave","SSA","VZSSA010212","100"
"Tuxtla (u.n.e.m.e. Cirugía Ambulatoria Y Torre de Diagnóstico)","Chiapas","SSA","CSSSA019534","100"
"Rafael Lucio","Veracruz de Ignacio de La Llave","SSA","VZSSA004855","100"
"Hgz No. 20","Puebla","IMSS","PLIMS000586","100"
"Centro Médico Lic. Adolfo López Mateos","México","SSA","MCSSA010222","100"
"Veracruz","Veracruz de Ignacio de La Llave","ISSSTE","VZIST000301","100"
"Hgz 71 Verac","Veracruz de Ignacio de La Llave","IMSS","VZIMS001124","100"
"Instituto Nacional de Ciencias Médicas Y Nutrición Salvador Zubirán","Ciudad de México","SSA/CC","DFSSA004055","100"
"Hospital General Dr. Manuel Gea González","Ciudad de México","SSA/CC","DFSSA003961","100"
"Hospital General San Felipe del Progreso","México","SSA","MCSSA005095","100"
"Hospital General Ixtlahuaca Valentin Gómez Farías","México","SSA","MCSSA002872","100"
"H.g. Dr. Nicolás San Juan","México","SSA","MCSSA007661","100"
"Hgz 49 Los Mochis","Sinaloa","IMSS","SLIMS000020","100"
"Hg Cm La Raza","Ciudad de México","IMSS","DFIMS000061","95"
