"Unidad médica","Estado","Institución","CLUES","% de Ocupación"
"Rafael Lucio","Veracruz de Ignacio de La Llave","SSA","VZSSA004855","100"
"Gral. Ignacio Zaragoza","Ciudad de México","ISSSTE","DFIST000160","100"
"Troncoso","Ciudad de México","IMSS","DFIMS000312","100"
"Hgz 30 Iztacalco","Ciudad de México","IMSS","DFIMS000324","100"
"Hospital General Dr. Manuel Gea González","Ciudad de México","SSA/CC","DFSSA003961","100"
"Dr. Manuel Cardenas de La Vega","Sinaloa","ISSSTE","SLIST000085","100"
"Hgz 1 Carlos Mcgregor","Ciudad de México","IMSS","DFIMS000534","100"
"Hospital Militar Regional de Mazatlán Sin.","Sinaloa","SEDENA","SLSDN000016","100"
"Hospital Regional de Alta Especialidad de Oaxaca","Oaxaca","SSA/CC","OCSSA007483","100"
"Chilpancingo de Los Bravo","Guerrero","ISSSTE","GRIST000112","100"
"Hgz 47 Vicente Guerrero","Ciudad de México","IMSS","DFIMS000365","100"
"Hgr 20 Tijuana","Baja California","IMSS","BCIMS000262","100"
"Bicentenario de La Independencia","México","ISSSTE","MCIST000425","100"
"Hes Cmn Siglo Xxi","Ciudad de México","IMSS","DFIMS000580","100"
"Hgr 1 Tijuana","Baja California","IMSS","BCIMS000373","100"
"Mazatlan","Sinaloa","ISSSTE","SLIST000196","100"
"Hgzmf 8 San Angel","Ciudad de México","IMSS","DFIMS000464","100"
"Hospital General Salamanca","Guanajuato","SSA","GTSSA003233","100"
"Acapulco","Guerrero","ISSSTE","GRIST000025","100"
"Aguascalientes","Aguascalientes","ISSSTE","ASIST000016","100"
"Hospital General de Valladolid","Yucatán","SSA","YNSSA013440","100"
"Hospital Regional Poza Rica","Veracruz de Ignacio de La Llave","PEMEX","VZPMX000066","100"
"Hes Cm La Raza","Ciudad de México","IMSS","DFIMS000020","100"
"Hospital Regional  Poza Rica de Hidalgo","Veracruz de Ignacio de La Llave","SSA","VZSSA004744","100"
"Hospital General del Valle del Mezquital Ixmiquilpan","Hidalgo","SSA","HGSSA001590","100"
"Ixmiquilpan","Hidalgo","ISSSTE","HGIST000065","100"
"Hospital Militar Regional de Mérida Yuc.","Yucatán","SEDENA","YNSDN000014","100"
"Coatzacoalcos","Veracruz de Ignacio de La Llave","ISSSTE","VZIST000062","100"
"Hospital Integral Jacala","Hidalgo","SSA","HGSSA001795","100"
"Hospital Comunitario Santa Cruz de Juventino Rosas","Guanajuato","SSA","GTSSA016842","100"
"Primero de Octubre","Ciudad de México","ISSSTE","DFIST000090","100"
"H.g. Ma. Socorro Quiroga Aguilar","Campeche","SSA","CCSSA000363","100"
"Hgz 24 Insurgentes","Ciudad de México","IMSS","DFIMS000225","100"
"Hospital General Acambaro Miguel Hidalgo","Guanajuato","SSA","GTSSA017414","100"
"Hospital General Ixtlahuaca Valentin Gómez Farías","México","SSA","MCSSA002872","100"
"Dr. Patricio Trueba Regil","Campeche","ISSSTE","CCIST000021","100"
"Instituto Nacional de Ciencias Médicas Y Nutrición Salvador Zubirán","Ciudad de México","SSA/CC","DFSSA004055","98"
"Hospital Central Norte","Ciudad de México","PEMEX","DFPMX000012","97"
"20 de Noviembre","Ciudad de México","ISSSTE","DFIST000312","97"
"19 (extensión Hospital Pachuca)","Hidalgo","SSA","HGSSA005020","96"
"H.g. Dr.salvador González Herrejon","México","SSA","MCSSA001011","95"
"Hospital General de México","Ciudad de México","SSA/CC","DFSSA003973","93"
"Hospital General Dr. Raymundo Abarca Alarcón","Guerrero","SSA","GRSSA009950","93"
"Dr. Fernando Quiroz Gutierrez","Ciudad de México","ISSSTE","DFIST000196","93"
"Hospital del Niño Morelense","Morelos","SSA","MSSSA002863","93"
"Hgz 32 Villa Coapa","Ciudad de México","IMSS","DFIMS000126","93"
"Hospital General Las Américas","México","SSA","MCSSA010280","92"
"Lic. Adolfo Lopez Mateos","Ciudad de México","ISSSTE","DFIST000201","92"
"Hospital General de Axapusco","México","SSA","MCSSA014143","92"
"Hgz 1a Venados","Ciudad de México","IMSS","DFIMS000522","91"
"Hospital General Pachuca","Hidalgo","SSA","HGSSA002430","91"
"H.g. Valentín Gómez Farías (san Francisco Zentlalpan)","México","SSA","MCSSA018750","90"
"Hospital General Dr. Enrique Cabrera","Ciudad de México","SSA","DFSSA017886","90"
"Instituto Nacional de Cancerología","Ciudad de México","SSA/CC","DFSSA004043","90"
"Ricardo Flores Magon","Michoacán de Ocampo","ISSSTE","MNIST000103","89"
"Hgr 2 Villa Coapa","Ciudad de México","IMSS","DFIMS000814","87"
"Hgr 1 Culiacán","Sinaloa","IMSS","SLIMS000131","84"
"Hgz 68 Tulpetlac","México","IMSS","MCIMS000990","83"
"Hg de Jojutla Dr. Ernesto Meana San Román","Morelos","SSA","MSSSA000961","83"
"Hg de Cuernavaca Dr. Jose G. Parres","Morelos","SSA","MSSSA000466","83"
"Hospital General Tula","Hidalgo","SSA","HGSSA015532","82"
"Hospital General La Perla Nezahualcoyotl","México","SSA","MCSSA010292","82"
"Hospital General San Felipe del Progreso","México","SSA","MCSSA005095","82"
"Tacuba","Ciudad de México","ISSSTE","DFIST000534","80"
"Hg Cm La Raza","Ciudad de México","IMSS","DFIMS000061","79"
"Los Mochis","Sinaloa","ISSSTE","SLIST000015","78"
"Hgzmf 76 Xalostoc","México","IMSS","MCIMS000232","78"
"Hospital Juárez de México","Ciudad de México","SSA/CC","DFSSA003944","77"
"Hospital General de Chalco","México","SSA","MCSSA001682","76"
"Hgz 58 Las Margaritas","México","IMSS","MCIMS000734","75"
"Dr. Manuel F. Rodriguez","Tamaulipas","ISSSTE","TSIST000071","75"
"Dr. Jose Ma. Rodriguez","Coahuila de Zaragoza","ISSSTE","CLIST000106","75"
"Hgzmf 32 Minatitlan","Veracruz de Ignacio de La Llave","IMSS","VZIMS000680","75"
"Hospital Regional de Alta Especialidad Ixtapaluca","México","SSA/CC","MCSSA018786","74"
"Hospital General Tijuana","Baja California","SSA","BCSSA000913","74"
"Gral. Jose Maria Morelos Y Pavon","Ciudad de México","ISSSTE","DFIST000155","74"
"Hgr 17 Cancun","Quintana Roo","IMSS","QRIMS000142","73"
"H.g. Chimalhuacán","México","SSA","MCSSA002020","72"
"Hospital General de Tulancingo","Hidalgo","SSA","HGSSA018000","71"
"H.g. Dr. Maximiliano Ruíz Castañeda","México","SSA","MCSSA004074","71"
"Hgr 196 Fidel Velazquez","México","IMSS","MCIMS000244","67"
"Hospital General San Luis de La Paz","Guanajuato","SSA","GTSSA004003","67"
"Hospital General de Minatitlan","Veracruz de Ignacio de La Llave","SSA","VZSSA003595","67"
"H.g. Dr. Gustavo Baz Prada","México","SSA","MCSSA004231","66"
"Hgr 1 V. Guerrero","Guerrero","IMSS","GRIMS000013","65"
"Hospital General Cd. del Carmen","Campeche","PEMEX","CCPMX000013","65"
"Dr. Rafael Barba Ocampo","Morelos","ISSSTE","MSIST000025","64"
"Hgz No. 20","Puebla","IMSS","PLIMS000586","63"
"Hospital General Atlacomulco","México","SSA","MCSSA010123","62"
"Hospital General Tláhuac","Ciudad de México","SSA","DFSSA018154","62"
"Cd. Juarez","Chihuahua","ISSSTE","CHIST000112","60"
"H.g. Tenancingo","México","SSA","MCSSA006430","60"
"Hospital Regional Villahermosa","Tabasco","PEMEX","TCPMX000014","59"
"H.g. Dr. Fernando Quiroz Gutiérrez","México","SSA","MCSSA008945","59"
"Dr. Daniel Gurria Urgell","Tabasco","ISSSTE","TCIST000063","58"
"Hgz 98 Coacalco","México","IMSS","MCIMS000080","55"
"Hgzmf 36 Coatzacoalcos","Veracruz de Ignacio de La Llave","IMSS","VZIMS000231","54"
"Centro Médico Lic. Adolfo López Mateos","México","SSA","MCSSA010222","53"
"Hgz 194 El Molinito","México","IMSS","MCIMS000326","53"
"Dr. Dario Fernandez Fierro","Ciudad de México","ISSSTE","DFIST000324","52"
"H.g. Texcoco Guadalupe Victoria Bicentenario","México","SSA","MCSSA018412","52"
"Hospital Central Militar","Ciudad de México","SEDENA","DFSDN000086","52"
"Hgzmf 29 S. Juan Aragon","Ciudad de México","IMSS","DFIMS000230","51"
"Hospital Comunitario Las Joyas","Guanajuato","SSA","GTSSA005613","50"
"Hospital Regional Río Blanco","Veracruz de Ignacio de La Llave","SSA","VZSSA004860","50"
"Hospital General Pénjamo","Guanajuato","SSA","GTSSA002760","50"
"Hc Santa Maria Huatulco","Oaxaca","SSA","OCSSA021133","50"
"Hospital Comunitario San Diego de La Union","Guanajuato","SSA","GTSSA017501","50"
"Hospital Dr. Manuel Campos","Campeche","SSA","CCSSA000100","50"
"Hospital General Ixtapan de La Sal","México","SSA","MCSSA010251","50"
"H.g. Jilotepec","México","SSA","MCSSA010053","50"
"Hgs 5 Guerrero Negro","Baja California Sur","IMSS","BSIMS000072","50"
"HG de Axochiapan Dr. Ángel Ventura Neri","Morelos","SSA","MSSSA000080","50"
"Hg Oaxaca Dr. Aurelio Valdivieso","Oaxaca","SSA","OCSSA000985","50"
"Hospital General de Saltillo","Coahuila de Zaragoza","SSA","CLSSA002734","50"
"Hospital Regional de Puerto Vallarta","Jalisco","SSA","JCSSA004230","50"
"Hospital General de Apan","Hidalgo","SSA","HGSSA015515","50"
"Chetumal","Quintana Roo","ISSSTE","QRIST000043","50"
"Hospital General Actopan","Hidalgo","SSA","HGSSA000156","50"
"Monclova","Coahuila de Zaragoza","ISSSTE","CLIST000065","50"
"Gomez Palacio","Durango","ISSSTE","DGIST000054","50"
"Hgz 27 Tlatelolco","Ciudad de México","IMSS","DFIMS000621","49"
"Hgz 24 Poza Rica","Veracruz de Ignacio de La Llave","IMSS","VZIMS000832","49"
"Hgr 72 Gustavo Baz","México","IMSS","MCIMS000746","48"
"Hospital General Regional No. 200","México","IMSS","MCIMS001171","48"
"Hgz 18 Playa del Carmen","Quintana Roo","IMSS","QRIMS000154","48"
"Hgzmf 5 Zacatepec","Morelos","IMSS","MSIMS000235","48"
"Hgz 1 Tepic","Nayarit","IMSS","NTIMS000190","48"
"Hgz 197 Texcoco","México","IMSS","MCIMS000961","48"
"Hgz No. 48 San Pedro Xalpa","Ciudad de México","IMSS","DFIMS000831","48"
"Hgz 57 La Quebrada","México","IMSS","MCIMS000874","47"
"Hospital Central Sur de Alta Especialidad","Ciudad de México","PEMEX","DFPMX000024","47"
"Hgz 71 Verac","Veracruz de Ignacio de La Llave","IMSS","VZIMS001124","46"
"Hgs 33 Tizayuca","Hidalgo","IMSS","HGIMS000135","46"
"Hgz 53 Los Reyes Paz","México","IMSS","MCIMS000676","45"
"Hgzmf 1 Campeche","Campeche","IMSS","CCIMS000016","45"
"Hospital General de Cancún Dr Jesus Kumate Rodriguez","Quintana Roo","SSA","QRSSA018062","45"
"Hgz 3 Cancun","Quintana Roo","IMSS","QRIMS000060","45"
"Hgzmf 4 Cd. Carmen","Campeche","IMSS","CCIMS000045","45"
"Hinfec Cm La Raza","Ciudad de México","IMSS","DFIMS000056","45"
"Hgz 71 Chalco","México","IMSS","MCIMS000145","44"
"Hgz 46 Gomez Palacio","Durango","IMSS","DGIMS000083","44"
"Instituto Nacional de Pediatría","Ciudad de México","SSA/CC","DFSSA004014","44"
"H.g. José Vicente Villada","México","SSA","MCSSA001636","43"
"Hospital General Zacatecas","Zacatecas","SSA","ZSSSA000502","43"
"Hospital General de Playa del Carmen","Quintana Roo","SSA","QRSSA018001","43"
"Hgr 220 Toluca","México","IMSS","MCIMS000816","43"
"Hospital Regional Cd. Madero","Tamaulipas","PEMEX","TSPMX000010","43"
"HGS 12 San Luis R. Colorado","Baja California","IMSS","BCIMS000064","43"
"Hospital Regional Reynosa","Tamaulipas","PEMEX","TSPMX000022","43"
"Hgz 67 Apodaca","Nuevo León","IMSS","NLIMS000636","43"
"Hgz 1 Tlaxcala","Tlaxcala","IMSS","TLIMS000136","43"
"Hgz 30 Mexicali","Baja California","IMSS","BCIMS000122","42"
"Instituto Nacional de Cardiología Ignacio Chávez","Ciudad de México","SSA/CC","DFSSA004031","41"
"Hgz 13 Matamoros","Tamaulipas","IMSS","TSIMS000211","41"
"Hgr 251 Metepec","México","IMSS","MCIMS001185","40"
"Dr. Aquiles Calles Ramirez","Nayarit","ISSSTE","NTIST000120","40"
"Cd. Valles","San Luis Potosí","ISSSTE","SPIST000055","40"
"Centenario de La Revolucion Mexicana","Morelos","ISSSTE","MSIST000293","40"
"Hospital General de Zona No. 5","Sonora","IMSS","SRIMS000920","40"
"Hospital General de Teziutlán","Puebla","SSA","PLSSA008485","38"
"Hgzmf 20 Autlan Navarro","Jalisco","IMSS","JCIMS000103","38"
"Hospital Regional de Alta Especialidad Dr. Juan Graham Casasus","Tabasco","SSA","TCSSA001064","38"
"Hg Zitacuaro","Michoacán de Ocampo","SSA","MNSSA004044","38"
"Veracruz","Veracruz de Ignacio de La Llave","ISSSTE","VZIST000301","37"
"Hgz 46 Dr. B Reynés B","Tabasco","IMSS","TCIMS000121","36"
"Hgz 15 Tehuacan","Puebla","IMSS","PLIMS000405","35"
"Hospital General Veracruz","Veracruz de Ignacio de La Llave","PEMEX","VZPMX000071","35"
"Hosp. Gral. Renacimiento","Guerrero","SSA","GRSSA000034","35"
"Toluca","México","ISSSTE","MCIST000215","35"
"Hospital Regional Minatitlán","Veracruz de Ignacio de La Llave","PEMEX","VZPMX000054","34"
"Iguala de La Independencia","Guerrero","ISSSTE","GRIST000153","33"
"Navojoa","Sonora","ISSSTE","SRIST000162","33"
"Hgzmf 8 Ensenada","Baja California","IMSS","BCIMS000011","33"
"Hospital General Papantla Dr. José Buil Belenguer","Veracruz de Ignacio de La Llave","SSA","VZSSA004370","33"
"Zacatecas","Zacatecas","ISSSTE","ZSIST000160","33"
"Clínica de La Mujer San Cristóbal de Las Casas","Chiapas","SSA","CSSSA019090","33"
"Dr. Santiago Ramon Y Cajal","Durango","ISSSTE","DGIST000042","33"
"Hospital General de Cholula","Puebla","SSA","PLSSA008425","33"
"San Luis Potosi","San Luis Potosí","ISSSTE","SPIST000113","33"
"Hgzmf 23 Hidalgo Parral","Chihuahua","IMSS","CHIMS000276","33"
"Hospital General Guanajuato ´´dr. Valentín Gracia´´","Guanajuato","SSA","GTSSA001454","33"
"Hospital Comunitario de San Juan de Los Lagos","Jalisco","SSA","JCSSA013045","33"
"Hgsmf 5 Taxco","Guerrero","IMSS","GRIMS000182","33"
"Tuxpan","Veracruz de Ignacio de La Llave","ISSSTE","VZIST000296","33"
"Hospital General de  Boca del Rio","Veracruz de Ignacio de La Llave","SSA","VZSSA010212","33"
"H.g. Dr. Nicolás San Juan","México","SSA","MCSSA007661","33"
"Hgr 66 Cd. Juárez","Chihuahua","IMSS","CHIMS000573","33"
"Dr. Jorge Soberon Acevedo","Guerrero","SSA","GRSSA004490","33"
"Hgz 11 Piedras Negras","Coahuila de Zaragoza","IMSS","CLIMS000251","33"
"Hospital General Patzcuaro","Michoacán de Ocampo","SSA","MNSSA005280","33"
"Hospital General Yajalón Dr. Jose Manuel Velasco Siles","Chiapas","SSA","CSSSA009232","33"
"Hgr 12 Benito Juárez","Yucatán","IMSS","YNIMS000095","32"
"Presidente Benito Juarez","Oaxaca","ISSSTE","OCIST000112","32"
"Hgz 2 Cardenas","Tabasco","IMSS","TCIMS000022","32"
"Enfermería Militar de Temamatla Mex.","México","SEDENA","MCSDN000011","31"
"Hgz 49 Los Mochis","Sinaloa","IMSS","SLIMS000020","30"
"Hospital General Uriangato","Guanajuato","SSA","GTSSA004650","29"
"Hgzmf 11 Cd. Delicias","Chihuahua","IMSS","CHIMS000206","29"
"Hospital Comunitario Colotlan","Jalisco","SSA","JCSSA001454","29"
"Instituto Nacional de Perinatología Isidro Espinosa de Los Reyes","Ciudad de México","SSA/CC","DFSSA004096","29"
"Tehuantepec","Oaxaca","ISSSTE","OCIST000252","29"
"Hgzmf 7 Monclova","Coahuila de Zaragoza","IMSS","CLIMS000111","29"
"Hospital de Especialidades  Pediatrico León","Guanajuato","SSA","GTSSA017525","29"
"Hgr 1 Chihuahua","Chihuahua","IMSS","CHIMS000136","29"
"Instituto Nacional de Enfermedades Respiratorias Ismael Cosío Villegas","Ciudad de México","SSA/CC","DFSSA004026","28"
"Hospital General Celaya","Guanajuato","SSA","GTSSA000766","28"
"Hgz 4 Zamora","Michoacán de Ocampo","IMSS","MNIMS000506","27"
"Morelia","Michoacán de Ocampo","ISSSTE","MNIST000120","27"
"Hospital General Irapuato","Guanajuato","SSA","GTSSA001652","27"
"Hospital General de Guamuchil","Sinaloa","SSA","SLSSA018113","27"
"Hgz 4 Villa Guadalupe","Nuevo León","IMSS","NLIMS000204","26"
"Hgsmf 30 Guamuchil","Sinaloa","IMSS","SLIMS000411","26"
"Hospital General de Ensenada","Baja California","SSA","BCSSA000015","26"
"Hospital de Traumatología Y Ortopedia Doctor Y General Rafael Moreno Valle","Puebla","SSA","PLSSA009394","26"
"Hg Adolfo Prieto","Guerrero","SSA","GRSSA012535","25"
"Hospital General Reynosa Dr. José María Cantú Garza","Tamaulipas","SSA","TSSSA001772","25"
"Hgzmf 1 Pachuca","Hidalgo","IMSS","HGIMS000082","25"
"Hospital General Dr. Juan C. Corzo Tonalá","Chiapas","SSA","CSSSA007074","25"
"Hes Puebla","Puebla","IMSS","PLIMS000200","25"
"La Paz","Baja California Sur","ISSSTE","BSIST000330","25"
"Dr. Roberto Nettel F.","Chiapas","ISSSTE","CSIST000210","25"
"Hospital Comunitario San Felipe","Guanajuato","SSA","GTSSA003600","25"
"H.g. Dr. José María Rodríguez","México","SSA","MCSSA002184","25"
"Hospital General Ometepec","Guerrero","SSA","GRSSA005762","25"
"Hg Juchitan Dr. Macedonio Benitez Fuentes","Oaxaca","SSA","OCSSA007693","25"
"Hgzmf 6 Tepeji del Rio","Hidalgo","IMSS","HGIMS000123","25"
"Tlaxcala","Tlaxcala","ISSSTE","TLIST000042","25"
"Hgz 2 Tulancingo","Hidalgo","IMSS","HGIMS000181","25"
"Hospital General Silao","Guanajuato","SSA","GTSSA017023","25"
"Hospital Regional de Delicias","Chihuahua","SSA","CHSSA001026","25"
"Hies de Chihuahua","Chihuahua","SSA","CHSSA018514","25"
"Hgzmf 3 Mazatlan","Sinaloa","IMSS","SLIMS000341","24"
"Hospital General de Mexicali","Baja California","SSA","BCSSA000440","24"
"Dr. Belisario Dominguez","Chiapas","ISSSTE","CSIST000251","24"
"Dra. Columba Rivera Osorio","Hidalgo","ISSSTE","HGIST000106","23"
