"Unidad médica","Estado","Institución","CLUES","% de Ocupación"
"Primero de Octubre","Ciudad de México","ISSSTE","DFIST000090","100"
"Hinfec Cm La Raza","Ciudad de México","IMSS","DFIMS000056","100"
"Hes Cm La Raza","Ciudad de México","IMSS","DFIMS000020","100"
"Gral. Jose Maria Morelos Y Pavon","Ciudad de México","ISSSTE","DFIST000155","100"
"Hgr 66 Cd. Juárez","Chihuahua","IMSS","CHIMS000573","100"
"Hospital General de Chalco","México","SSA","MCSSA001682","100"
"Hg Oaxaca Dr. Aurelio Valdivieso","Oaxaca","SSA","OCSSA000985","100"
"Dr. Manuel Cardenas de La Vega","Sinaloa","ISSSTE","SLIST000085","100"
"Hgr 196 Fidel Velazquez","México","IMSS","MCIMS000244","100"
"Hes 1 Merida","Yucatán","IMSS","YNIMS000071","100"
"Hgz 1a Venados","Ciudad de México","IMSS","DFIMS000522","100"
"La Paz","Baja California Sur","ISSSTE","BSIST000330","100"
"Hospital Juárez de México","Ciudad de México","SSA/CC","DFSSA003944","96"
"Instituto Nacional de Enfermedades Respiratorias Ismael Cosío Villegas","Ciudad de México","SSA/CC","DFSSA004026","93"
"20 de Noviembre","Ciudad de México","ISSSTE","DFIST000312","90"
"Veracruz","Veracruz de Ignacio de La Llave","ISSSTE","VZIST000301","80"
"Hgz 71 Verac","Veracruz de Ignacio de La Llave","IMSS","VZIMS001124","75"
"Hgr 46 Guadalaja","Jalisco","IMSS","JCIMS000371","75"
"Hospital General de Cancún Dr Jesus Kumate Rodriguez","Quintana Roo","SSA","QRSSA018062","71"
"Toluca","México","ISSSTE","MCIST000215","67"
"Hospital Pediátrico Villa","Ciudad de México","SSA","DFSSA000840","67"
"Bicentenario de La Independencia","México","ISSSTE","MCIST000425","57"
"Hgz 1 Carlos Mcgregor","Ciudad de México","IMSS","DFIMS000534","57"
"Hospital General Dr. Manuel Gea González","Ciudad de México","SSA/CC","DFSSA003961","52"
"Hospital General Las Américas","México","SSA","MCSSA010280","50"
"Hes 1 Leon","Guanajuato","IMSS","GTIMS000226","50"
"Hgz 1 Oaxaca","Oaxaca","IMSS","OCIMS000136","50"
"Hes 14 Cmn Verac","Veracruz de Ignacio de La Llave","IMSS","VZIMS001112","50"
"Hgz 30 Iztacalco","Ciudad de México","IMSS","DFIMS000324","50"
"Valentin Gomez Farias","Jalisco","ISSSTE","JCIST000132","50"
"Cd. Juarez","Chihuahua","ISSSTE","CHIST000112","50"
"Hospital General de Manzanillo","Colima","SSA","CMSSA001356","50"
"H.g. Dr. José María Rodríguez","México","SSA","MCSSA002184","50"
"Hospital General de Valladolid","Yucatán","SSA","YNSSA013440","43"
"Hospital General Dr. Pedro Daniel Martínez","Michoacán de Ocampo","SSA","MNSSA003735","40"
"Hospital General Dr. Raymundo Abarca Alarcón","Guerrero","SSA","GRSSA009950","40"
"Hes Cmn Siglo Xxi","Ciudad de México","IMSS","DFIMS000580","38"
"Centenario de La Revolucion Mexicana","Morelos","ISSSTE","MSIST000293","33"
"Hospital General de Playa del Carmen","Quintana Roo","SSA","QRSSA018001","33"
"Hg Tuxtepec","Oaxaca","SSA","OCSSA002146","33"
