"Unidad médica","Estado","Institución","CLUES","% de Ocupación"
"Hgzmf 8 San Angel","Ciudad de México","IMSS","DFIMS000464","100"
"Dr. Fernando Quiroz Gutierrez","Ciudad de México","ISSSTE","DFIST000196","100"
"Matehuala","San Luis Potosí","ISSSTE","SPIST000084","100"
"Hospital General San Felipe del Progreso","México","SSA","MCSSA005095","100"
"Hospital General de Gómez Palacio","Durango","SSA","DGSSA000676","100"
"Presidente Benito Juarez","Oaxaca","ISSSTE","OCIST000112","100"
"Gomez Palacio","Durango","ISSSTE","DGIST000054","100"
"Hospital Regional de Alta Especialidad de Oaxaca","Oaxaca","SSA/CC","OCSSA007483","100"
"Dr. Fernando Ocaranza","Sonora","ISSSTE","SRIST000133","100"
"Hes Cmn Siglo Xxi","Ciudad de México","IMSS","DFIMS000580","100"
"Hgz 27 Tlatelolco","Ciudad de México","IMSS","DFIMS000621","100"
"Enfermería Militar de Temamatla Mex.","México","SEDENA","MCSDN000011","100"
"Hospital Comunitario Moroleón","Guanajuato","SSA","GTSSA017443","100"
"Hospital Militar de Zona de Santa María Rayón","México","SEDENA","MCSDN000385","100"
"Hospital General Salamanca","Guanajuato","SSA","GTSSA003233","100"
"Hc Tuzantla","Michoacán de Ocampo","SSA","MNSSA016504","100"
"Hgzmf 29 S. Juan Aragon","Ciudad de México","IMSS","DFIMS000230","100"
"Primero de Octubre","Ciudad de México","ISSSTE","DFIST000090","100"
"Hgz 53 Los Reyes Paz","México","IMSS","MCIMS000676","100"
"Hgz 71 Chalco","México","IMSS","MCIMS000145","100"
"Hgz 24 Insurgentes","Ciudad de México","IMSS","DFIMS000225","100"
"Hgz No. 48 San Pedro Xalpa","Ciudad de México","IMSS","DFIMS000831","100"
"Hes Cm La Raza","Ciudad de México","IMSS","DFIMS000020","100"
"Tampico","Tamaulipas","ISSSTE","TSIST000182","100"
"Dr. Rafael Barba Ocampo","Morelos","ISSSTE","MSIST000025","100"
