"Estado","% Ocupación"
"Chihuahua","58.27"
"Baja California","55.86"
"Aguascalientes","44.00"
"Durango","41.04"
"Sonora","40.37"
"Coahuila de Zaragoza","34.87"
"Quintana Roo","33.33"
"Nuevo León","24.29"
"Puebla","24.06"
"Guanajuato","22.65"
"Sinaloa","21.82"
"San Luis Potosí","18.77"
"Tamaulipas","18.52"
"Jalisco","14.20"
"Hidalgo","13.92"
"Querétaro","12.20"
"Oaxaca","11.36"
"México","11.13"
"Baja California Sur","11.11"
"Ciudad de México","11.06"
"Zacatecas","10.75"
"Nayarit","10.41"
"Tlaxcala","9.00"
"Guerrero","8.38"
"Morelos","7.87"
"Veracruz de Ignacio de La Llave","7.37"
"Michoacán de Ocampo","7.20"
"Tabasco","5.21"
"Colima","3.70"
"Yucatán","2.74"
"Chiapas","2.25"
"Campeche","1.65"
