"Estado","% Ocupación"
"Yucatán","74.28"
"Oaxaca","56.00"
"Coahuila de Zaragoza","44.44"
"Tabasco","40.27"
"Nuevo León","38.57"
"Sonora","37.77"
"Colima","33.33"
"Tamaulipas","31.16"
"Sinaloa","29.26"
"Quintana Roo","27.86"
"Querétaro","22.72"
"San Luis Potosí","22.22"
"México","18.88"
"Puebla","17.18"
"Zacatecas","16.66"
"Michoacán de Ocampo","15.38"
"Baja California Sur","14.28"
"Veracruz de Ignacio de La Llave","14.28"
"Ciudad de México","13.89"
"Campeche","13.33"
"Jalisco","12.19"
"Baja California","11.36"
"Durango","10.25"
"Guanajuato","9.09"
"Guerrero","7.69"
"Hidalgo","6.66"
"Chihuahua","4.28"
"Chiapas","2.12"
"Nayarit","0.00"
"Tlaxcala","0.00"
"Morelos","0.00"
"Aguascalientes","0.00"
