"Estado","% Ocupación"
"Aguascalientes","60.00"
"Querétaro","56.25"
"Ciudad de México","44.79"
"Oaxaca","41.17"
"Nuevo León","34.72"
"Jalisco","33.33"
"Hidalgo","30.76"
"Tamaulipas","29.57"
"Michoacán de Ocampo","28.57"
"Tabasco","26.82"
"México","22.75"
"Chihuahua","18.18"
"Coahuila de Zaragoza","18.18"
"Baja California","18.18"
"Sinaloa","17.85"
"Sonora","17.64"
"Veracruz de Ignacio de La Llave","15.51"
"Yucatán","12.50"
"San Luis Potosí","12.50"
"Zacatecas","11.11"
"Puebla","10.52"
"Guanajuato","9.25"
"Durango","4.44"
"Campeche","3.33"
"Guerrero","2.56"
"Chiapas","0.00"
"Quintana Roo","0.00"
"Nayarit","0.00"
"Tlaxcala","0.00"
"Baja California Sur","0.00"
"Colima","0.00"
"Morelos","0.00"
