"Estado","% Ocupación"
"Baja California","40.41"
"Chihuahua","39.83"
"Durango","34.61"
"Sonora","32.33"
"Aguascalientes","30.39"
"Baja California Sur","20.00"
"Coahuila de Zaragoza","17.64"
"San Luis Potosí","15.68"
"Puebla","14.07"
"Nuevo León","13.89"
"Tlaxcala","12.16"
"Ciudad de México","10.91"
"Oaxaca","10.41"
"Sinaloa","10.15"
"Tamaulipas","9.18"
"Querétaro","8.59"
"Zacatecas","8.25"
"México","7.82"
"Yucatán","7.52"
"Jalisco","7.24"
"Colima","6.89"
"Hidalgo","6.66"
"Guanajuato","6.55"
"Veracruz de Ignacio de La Llave","6.27"
"Michoacán de Ocampo","4.47"
"Tabasco","3.89"
"Nayarit","3.63"
"Morelos","2.00"
"Chiapas","1.14"
"Quintana Roo","0.99"
"Guerrero","0.52"
"Campeche","0.00"
