"Estado","% Ocupación"
"Baja California","45.69"
"Baja California Sur","30.43"
"Aguascalientes","26.56"
"Durango","24.19"
"Chihuahua","20.86"
"Sonora","20.49"
"Coahuila de Zaragoza","16.04"
"Nuevo León","15.75"
"Puebla","15.03"
"Jalisco","13.81"
"Tlaxcala","12.50"
"Ciudad de México","12.27"
"San Luis Potosí","12.06"
"Morelos","11.90"
"Querétaro","11.15"
"Yucatán","11.11"
"Hidalgo","10.94"
"Michoacán de Ocampo","10.38"
"Guanajuato","10.09"
"México","10.06"
"Tamaulipas","9.52"
"Tabasco","9.46"
"Zacatecas","8.25"
"Colima","7.93"
"Oaxaca","5.71"
"Sinaloa","4.54"
"Veracruz de Ignacio de La Llave","4.36"
"Guerrero","4.00"
"Nayarit","3.22"
"Chiapas","3.06"
"Quintana Roo","2.94"
"Campeche","1.63"
