"Estado","% Ocupación"
"Querétaro","41.54"
"Aguascalientes","40.33"
"Hidalgo","32.15"
"Ciudad de México","30.66"
"Nuevo León","30.01"
"Tlaxcala","23.94"
"Colima","23.07"
"Veracruz de Ignacio de La Llave","22.18"
"Oaxaca","21.81"
"Sinaloa","21.09"
"Baja California Sur","19.16"
"Coahuila de Zaragoza","18.72"
"Puebla","18.25"
"México","18.08"
"Morelos","17.62"
"Sonora","17.21"
"Chihuahua","16.96"
"Michoacán de Ocampo","16.94"
"Jalisco","16.80"
"Tamaulipas","15.31"
"Baja California","14.71"
"Guerrero","14.22"
"Nayarit","12.14"
"San Luis Potosí","11.21"
"Durango","11.11"
"Guanajuato","9.35"
"Tabasco","8.62"
"Zacatecas","7.84"
"Chiapas","6.29"
"Quintana Roo","4.66"
"Yucatán","4.01"
"Campeche","2.49"
