"Estado","% Ocupación"
"Nayarit","100.00"
"Querétaro","65.00"
"Aguascalientes","64.51"
"Michoacán de Ocampo","40.00"
"Puebla","39.62"
"Chihuahua","39.39"
"Zacatecas","35.00"
"Guanajuato","32.75"
"Durango","30.23"
"Sonora","25.00"
"San Luis Potosí","25.00"
"Nuevo León","24.72"
"Colima","23.07"
"Ciudad de México","20.60"
"Coahuila de Zaragoza","20.00"
"Yucatán","20.00"
"Jalisco","15.42"
"Baja California","14.28"
"Tamaulipas","14.06"
"Tabasco","13.92"
"México","13.68"
"Sinaloa","9.25"
"Veracruz de Ignacio de La Llave","7.69"
"Hidalgo","7.14"
"Oaxaca","6.25"
"Quintana Roo","4.34"
"Guerrero","4.28"
"Campeche","0.00"
"Baja California Sur","0.00"
"Chiapas","0.00"
"Tlaxcala","0.00"
"Morelos","0.00"
