"Estado","% Ocupación"
"Chihuahua","63.63"
"Aguascalientes","42.69"
"Baja California","40.93"
"Sonora","37.07"
"Coahuila de Zaragoza","35.44"
"Durango","34.78"
"Sinaloa","24.45"
"San Luis Potosí","24.24"
"Nuevo León","23.30"
"Ciudad de México","21.01"
"Guanajuato","20.15"
"Tamaulipas","15.77"
"Puebla","15.58"
"Jalisco","12.10"
"Zacatecas","11.23"
"Baja California Sur","10.81"
"Querétaro","10.52"
"Hidalgo","9.80"
"México","7.98"
"Oaxaca","7.82"
"Michoacán de Ocampo","6.75"
"Quintana Roo","6.41"
"Nayarit","6.38"
"Guerrero","6.18"
"Colima","6.08"
"Morelos","5.63"
"Veracruz de Ignacio de La Llave","5.55"
"Yucatán","2.52"
"Tabasco","2.05"
"Tlaxcala","0.86"
"Chiapas","0.73"
"Campeche","0.69"
