"Estado","% Ocupación"
"Aguascalientes","67.17"
"Zacatecas","40.14"
"Ciudad de México","39.17"
"Chihuahua","37.03"
"Nuevo León","32.95"
"Sonora","32.67"
"Baja California Sur","32.18"
"Colima","30.95"
"Baja California","28.83"
"San Luis Potosí","28.80"
"Nayarit","28.57"
"Jalisco","27.18"
"Durango","26.89"
"Coahuila de Zaragoza","26.06"
"Hidalgo","22.33"
"Querétaro","21.09"
"Sinaloa","19.87"
"Puebla","19.87"
"Oaxaca","17.97"
"Morelos","17.54"
"Tamaulipas","16.84"
"México","16.80"
"Yucatán","16.75"
"Michoacán de Ocampo","12.86"
"Quintana Roo","12.75"
"Guanajuato","12.48"
"Tabasco","11.70"
"Tlaxcala","11.42"
"Veracruz de Ignacio de La Llave","9.16"
"Guerrero","6.58"
"Chiapas","2.57"
"Campeche","1.76"
