"Estado","% Ocupación"
"Chihuahua","59.47"
"Baja California","48.78"
"Aguascalientes","46.85"
"Sonora","45.97"
"Durango","39.13"
"Nuevo León","37.54"
"Coahuila de Zaragoza","37.03"
"Quintana Roo","24.13"
"Guanajuato","22.30"
"San Luis Potosí","20.77"
"Sinaloa","20.43"
"Puebla","20.00"
"Tamaulipas","16.37"
"Jalisco","14.47"
"Nayarit","14.43"
"Ciudad de México","12.63"
"Oaxaca","11.95"
"Hidalgo","11.34"
"Tlaxcala","10.71"
"Querétaro","9.41"
"México","9.17"
"Veracruz de Ignacio de La Llave","6.58"
"Michoacán de Ocampo","6.45"
"Guerrero","5.72"
"Morelos","5.39"
"Zacatecas","5.26"
"Baja California Sur","4.05"
"Tabasco","4.05"
"Chiapas","2.84"
"Colima","2.67"
"Yucatán","2.37"
"Campeche","0.28"
