"Estado","% Ocupación"
"Tlaxcala","10.00"
"Baja California Sur","3.33"
"Sonora","2.63"
"Ciudad de México","2.50"
"Colima","1.96"
"Yucatán","1.63"
"Michoacán de Ocampo","1.40"
"Jalisco","1.38"
"Puebla","1.31"
"Tabasco","1.27"
"Hidalgo","1.26"
"Chihuahua","0.78"
"Veracruz de Ignacio de La Llave","0.66"
"Nuevo León","0.59"
"Baja California","0.48"
"México","0.42"
"Guanajuato","0.31"
"Coahuila de Zaragoza","0.00"
"Tamaulipas","0.00"
"Nayarit","0.00"
"Oaxaca","0.00"
"San Luis Potosí","0.00"
"Campeche","0.00"
"Quintana Roo","0.00"
"Querétaro","0.00"
"Sinaloa","0.00"
"Aguascalientes","0.00"
"Morelos","0.00"
"Durango","0.00"
"Zacatecas","0.00"
"Chiapas","0.00"
"Guerrero","0.00"
