"Estado","% Ocupación"
"Colima","96.03"
"Ciudad de México","67.85"
"Hidalgo","66.91"
"Jalisco","64.72"
"Oaxaca","63.57"
"Nayarit","63.35"
"Nuevo León","62.91"
"Tlaxcala","62.35"
"San Luis Potosí","58.73"
"Veracruz de Ignacio de La Llave","54.45"
"Tabasco","52.25"
"México","51.63"
"Baja California Sur","45.12"
"Guerrero","44.10"
"Durango","43.69"
"Michoacán de Ocampo","42.32"
"Sinaloa","41.04"
"Morelos","40.24"
"Sonora","39.84"
"Puebla","39.49"
"Aguascalientes","38.93"
"Tamaulipas","36.97"
"Querétaro","35.12"
"Zacatecas","33.33"
"Yucatán","33.14"
"Quintana Roo","22.54"
"Baja California","21.91"
"Coahuila de Zaragoza","21.71"
"Chiapas","17.68"
"Chihuahua","16.26"
"Campeche","15.90"
"Guanajuato","14.77"
