"Estado","% Ocupación"
"Chihuahua","43.45"
"Baja California","42.90"
"Aguascalientes","38.61"
"Sonora","28.40"
"Durango","22.05"
"Coahuila de Zaragoza","13.97"
"Nuevo León","12.67"
"San Luis Potosí","11.20"
"Tlaxcala","9.37"
"Zacatecas","9.17"
"Ciudad de México","8.74"
"Querétaro","8.33"
"Puebla","8.21"
"Sinaloa","8.00"
"Tamaulipas","7.48"
"Oaxaca","7.35"
"Jalisco","7.19"
"Guanajuato","6.83"
"Yucatán","5.88"
"Morelos","5.45"
"Hidalgo","5.10"
"Veracruz de Ignacio de La Llave","5.07"
"México","4.23"
"Baja California Sur","4.03"
"Michoacán de Ocampo","2.20"
"Tabasco","2.20"
"Colima","2.17"
"Chiapas","1.52"
"Campeche","1.19"
"Guerrero","1.05"
"Quintana Roo","0.50"
"Nayarit","0.00"
