"Estado","% Ocupación"
"Baja California Sur","57.82"
"Yucatán","52.40"
"Sinaloa","38.63"
"Nayarit","32.85"
"Oaxaca","32.39"
"Sonora","28.22"
"Ciudad de México","27.28"
"Tabasco","25.12"
"Nuevo León","24.38"
"Colima","21.05"
"Quintana Roo","20.43"
"Veracruz de Ignacio de La Llave","20.31"
"Tamaulipas","16.89"
"Durango","16.17"
"Campeche","15.60"
"Hidalgo","13.95"
"Tlaxcala","13.88"
"Guerrero","13.75"
"México","13.04"
"Jalisco","12.52"
"Baja California","12.15"
"Michoacán de Ocampo","10.25"
"Morelos","8.51"
"San Luis Potosí","8.14"
"Aguascalientes","7.21"
"Chiapas","7.01"
"Puebla","6.31"
"Chihuahua","6.13"
"Zacatecas","3.07"
"Querétaro","2.47"
"Guanajuato","1.92"
"Coahuila de Zaragoza","0.86"
