"Estado","% Ocupación"
"Aguascalientes","45.97"
"Querétaro","38.70"
"Nuevo León","36.45"
"Ciudad de México","24.53"
"Sinaloa","24.52"
"Hidalgo","22.72"
"Baja California Sur","21.42"
"Colima","20.75"
"Chihuahua","19.78"
"Sonora","18.77"
"Veracruz de Ignacio de La Llave","18.00"
"Tlaxcala","16.66"
"Oaxaca","15.62"
"Puebla","15.15"
"Jalisco","15.04"
"México","14.23"
"Durango","13.41"
"Nayarit","11.81"
"Zacatecas","11.11"
"San Luis Potosí","11.03"
"Michoacán de Ocampo","10.87"
"Baja California","10.66"
"Morelos","9.94"
"Tamaulipas","9.21"
"Guerrero","9.04"
"Coahuila de Zaragoza","7.47"
"Tabasco","6.33"
"Guanajuato","5.73"
"Chiapas","5.70"
"Yucatán","3.17"
"Quintana Roo","2.06"
"Campeche","1.57"
