"Estado","% Ocupación"
"Durango","14.28"
"Oaxaca","12.19"
"Chihuahua","9.09"
"Tlaxcala","8.33"
"Sinaloa","7.20"
"Tamaulipas","5.99"
"Nuevo León","5.89"
"Aguascalientes","5.26"
"Veracruz de Ignacio de La Llave","4.85"
"Jalisco","4.72"
"Colima","4.65"
"Baja California Sur","4.54"
"Ciudad de México","4.36"
"Quintana Roo","3.00"
"Guerrero","2.56"
"Nayarit","2.56"
"Tabasco","2.46"
"Michoacán de Ocampo","2.22"
"Hidalgo","2.12"
"Querétaro","2.02"
"Puebla","1.95"
"Guanajuato","1.92"
"Coahuila de Zaragoza","1.66"
"San Luis Potosí","1.31"
"México","1.24"
"Yucatán","0.77"
"Baja California","0.72"
"Chiapas","0.00"
"Zacatecas","0.00"
"Morelos","0.00"
"Sonora","0.00"
"Campeche","0.00"
