"Estado","% Ocupación"
"Baja California","40.13"
"Aguascalientes","29.90"
"Baja California Sur","27.77"
"Chihuahua","23.80"
"Durango","21.12"
"Morelos","17.64"
"Sonora","17.44"
"San Luis Potosí","16.23"
"Jalisco","15.66"
"Nuevo León","14.93"
"Oaxaca","13.97"
"Hidalgo","13.33"
"Tabasco","13.13"
"Yucatán","12.65"
"México","12.38"
"Tlaxcala","12.32"
"Michoacán de Ocampo","11.82"
"Querétaro","11.79"
"Puebla","11.40"
"Coahuila de Zaragoza","11.01"
"Ciudad de México","10.86"
"Nayarit","10.14"
"Tamaulipas","9.95"
"Guanajuato","9.62"
"Zacatecas","9.17"
"Sinaloa","8.75"
"Veracruz de Ignacio de La Llave","7.28"
"Campeche","4.87"
"Chiapas","4.69"
"Guerrero","3.77"
"Quintana Roo","3.31"
"Colima","3.17"
