"Estado","% Ocupación"
"Chihuahua","16.90"
"Nuevo León","11.74"
"Nayarit","9.75"
"Oaxaca","9.30"
"Aguascalientes","8.57"
"Colima","8.33"
"Baja California Sur","7.14"
"Tamaulipas","7.06"
"Guerrero","5.88"
"Ciudad de México","5.40"
"Querétaro","5.00"
"Tlaxcala","4.54"
"Jalisco","4.52"
"Sinaloa","3.96"
"Veracruz de Ignacio de La Llave","3.07"
"Zacatecas","2.63"
"Sonora","2.50"
"Puebla","2.33"
"Durango","2.27"
"Coahuila de Zaragoza","2.05"
"Hidalgo","2.02"
"Michoacán de Ocampo","1.71"
"Guanajuato","1.63"
"Quintana Roo","1.50"
"Tabasco","1.32"
"San Luis Potosí","1.31"
"Campeche","1.26"
"Morelos","1.21"
"México","0.87"
"Baja California","0.81"
"Yucatán","0.77"
"Chiapas","0.00"
