"Estado","% Ocupación"
"Nuevo León","73.75"
"Aguascalientes","64.11"
"Zacatecas","62.57"
"Ciudad de México","62.21"
"Chihuahua","61.97"
"San Luis Potosí","60.97"
"Hidalgo","60.00"
"Durango","59.17"
"Coahuila de Zaragoza","57.81"
"Morelos","53.24"
"Sonora","51.26"
"Nayarit","50.37"
"Sinaloa","48.42"
"Jalisco","48.24"
"Puebla","48.01"
"Querétaro","47.98"
"Tamaulipas","46.92"
"Colima","46.15"
"Baja California","45.33"
"México","45.13"
"Guanajuato","42.29"
"Oaxaca","40.17"
"Guerrero","39.65"
"Baja California Sur","37.79"
"Veracruz de Ignacio de La Llave","36.60"
"Quintana Roo","31.03"
"Tabasco","27.84"
"Michoacán de Ocampo","26.57"
"Tlaxcala","22.50"
"Yucatán","16.52"
"Campeche","7.74"
"Chiapas","4.43"
