"Estado","% Ocupación"
"Durango","20.00"
"Colima","16.00"
"Nayarit","12.19"
"Sinaloa","10.18"
"Aguascalientes","10.00"
"Guerrero","9.75"
"Baja California Sur","8.69"
"Nuevo León","8.03"
"Oaxaca","7.40"
"Zacatecas","7.14"
"Ciudad de México","6.47"
"Quintana Roo","5.67"
"Tamaulipas","5.58"
"Sonora","4.76"
"Jalisco","4.74"
"Querétaro","4.21"
"Veracruz de Ignacio de La Llave","4.06"
"Coahuila de Zaragoza","4.03"
"Guanajuato","2.44"
"Chihuahua","1.96"
"Morelos","1.81"
"México","1.51"
"Hidalgo","1.41"
"Michoacán de Ocampo","1.36"
"San Luis Potosí","1.32"
"Puebla","1.31"
"Yucatán","1.24"
"Baja California","1.07"
"Tabasco","0.56"
"Campeche","0.29"
"Tlaxcala","0.00"
"Chiapas","0.00"
