"Estado","% Ocupación"
"Chihuahua","63.66"
"Baja California","51.24"
"Sonora","48.61"
"Aguascalientes","47.29"
"Durango","39.16"
"Coahuila de Zaragoza","33.09"
"Nuevo León","26.36"
"San Luis Potosí","25.44"
"Guanajuato","23.47"
"Puebla","21.81"
"Sinaloa","21.73"
"Jalisco","16.24"
"Tamaulipas","15.89"
"Hidalgo","14.87"
"Ciudad de México","13.26"
"Querétaro","13.15"
"Oaxaca","11.95"
"Nayarit","11.57"
"Quintana Roo","10.62"
"Zacatecas","10.52"
"México","9.88"
"Veracruz de Ignacio de La Llave","8.18"
"Tlaxcala","7.20"
"Guerrero","5.78"
"Baja California Sur","5.47"
"Michoacán de Ocampo","5.27"
"Morelos","4.46"
"Colima","4.38"
"Tabasco","3.76"
"Yucatán","3.14"
"Chiapas","2.97"
"Campeche","0.56"
