"Estado","% Ocupación"
"Baja California","48.81"
"Chihuahua","41.11"
"Aguascalientes","35.34"
"Durango","34.88"
"Sonora","32.41"
"Coahuila de Zaragoza","17.28"
"Nuevo León","13.72"
"Ciudad de México","11.52"
"Puebla","8.91"
"Oaxaca","8.33"
"Zacatecas","8.25"
"Sinaloa","7.97"
"Querétaro","7.76"
"San Luis Potosí","7.20"
"Nayarit","7.14"
"Guanajuato","6.46"
"Tlaxcala","6.34"
"Tamaulipas","6.17"
"Morelos","5.55"
"Jalisco","5.21"
"Veracruz de Ignacio de La Llave","5.00"
"Yucatán","4.76"
"México","4.60"
"Baja California Sur","4.13"
"Michoacán de Ocampo","3.70"
"Hidalgo","3.48"
"Colima","2.38"
"Tabasco","1.35"
"Chiapas","1.14"
"Guerrero","1.05"
"Quintana Roo","0.99"
"Campeche","0.00"
