"Estado","% Ocupación"
"Aguascalientes","37.71"
"Baja California","36.45"
"Chihuahua","33.74"
"Sonora","30.93"
"Durango","20.63"
"Coahuila de Zaragoza","18.42"
"Baja California Sur","17.85"
"Nuevo León","13.11"
"Zacatecas","13.08"
"Ciudad de México","12.34"
"Oaxaca","12.08"
"Puebla","9.80"
"Tlaxcala","9.52"
"San Luis Potosí","9.30"
"Sinaloa","9.27"
"Tamaulipas","7.29"
"Querétaro","7.17"
"Morelos","7.14"
"Nayarit","6.25"
"Guanajuato","5.86"
"Jalisco","5.79"
"Veracruz de Ignacio de La Llave","5.20"
"México","4.18"
"Yucatán","3.74"
"Hidalgo","3.06"
"Michoacán de Ocampo","2.65"
"Colima","2.56"
"Tabasco","1.82"
"Guerrero","1.72"
"Quintana Roo","0.50"
"Chiapas","0.38"
"Campeche","0.00"
