"Estado","% Ocupación"
"Aguascalientes","11.86"
"Tlaxcala","8.00"
"Jalisco","5.22"
"Durango","4.34"
"Puebla","4.27"
"Hidalgo","3.79"
"Yucatán","3.64"
"Sinaloa","3.06"
"Coahuila de Zaragoza","3.03"
"Oaxaca","2.77"
"Nuevo León","2.67"
"Ciudad de México","2.38"
"Morelos","2.04"
"Colima","1.85"
"Campeche","1.61"
"México","1.59"
"Querétaro","1.58"
"Veracruz de Ignacio de La Llave","1.55"
"Tamaulipas","1.37"
"San Luis Potosí","0.97"
"Zacatecas","0.90"
"Guerrero","0.80"
"Guanajuato","0.72"
"Chihuahua","0.68"
"Michoacán de Ocampo","0.64"
"Quintana Roo","0.63"
"Baja California","0.45"
"Sonora","0.00"
"Baja California Sur","0.00"
"Tabasco","0.00"
"Chiapas","0.00"
"Nayarit","0.00"
