"Estado","% Ocupación"
"Coahuila de Zaragoza","100.00"
"Chihuahua","56.75"
"Durango","55.81"
"Aguascalientes","53.12"
"Yucatán","50.00"
"Querétaro","43.75"
"Sonora","41.50"
"Zacatecas","27.77"
"Puebla","27.65"
"Nuevo León","25.96"
"Ciudad de México","25.42"
"Michoacán de Ocampo","23.07"
"Tamaulipas","21.12"
"México","20.51"
"Guanajuato","20.00"
"Baja California","17.14"
"Sinaloa","16.12"
"Jalisco","16.00"
"San Luis Potosí","14.81"
"Tabasco","12.50"
"Colima","7.69"
"Oaxaca","6.25"
"Veracruz de Ignacio de La Llave","5.76"
"Campeche","3.33"
"Morelos","0.00"
"Quintana Roo","0.00"
"Baja California Sur","0.00"
"Nayarit","0.00"
"Tlaxcala","0.00"
"Chiapas","0.00"
"Guerrero","0.00"
"Hidalgo","0.00"
