"Estado","% Ocupación"
"Tlaxcala","62.50"
"Puebla","62.33"
"Durango","61.97"
"Tabasco","56.30"
"Veracruz de Ignacio de La Llave","54.12"
"Hidalgo","52.33"
"Nuevo León","51.21"
"Ciudad de México","50.23"
"Oaxaca","50.19"
"Michoacán de Ocampo","47.64"
"Morelos","46.78"
"México","45.68"
"Sonora","44.73"
"Aguascalientes","44.44"
"Zacatecas","42.69"
"Colima","42.54"
"Tamaulipas","42.37"
"Querétaro","41.80"
"San Luis Potosí","41.55"
"Jalisco","39.79"
"Coahuila de Zaragoza","39.18"
"Nayarit","37.33"
"Guanajuato","36.31"
"Baja California","35.99"
"Guerrero","26.45"
"Quintana Roo","25.80"
"Baja California Sur","22.50"
"Yucatán","21.93"
"Sinaloa","19.47"
"Campeche","19.09"
"Chiapas","16.10"
"Chihuahua","11.65"
