"Estado","% Ocupación"
"Michoacán de Ocampo","100.00"
"Colima","100.00"
"Zacatecas","90.47"
"Durango","82.60"
"Querétaro","80.64"
"Veracruz de Ignacio de La Llave","71.13"
"Yucatán","69.23"
"Puebla","67.74"
"Nuevo León","67.60"
"Ciudad de México","66.98"
"Tabasco","66.26"
"Aguascalientes","64.51"
"Guanajuato","63.15"
"Tlaxcala","62.50"
"México","62.10"
"Jalisco","59.42"
"San Luis Potosí","58.82"
"Tamaulipas","57.54"
"Oaxaca","57.14"
"Morelos","48.57"
"Sinaloa","47.91"
"Coahuila de Zaragoza","42.85"
"Sonora","37.20"
"Guerrero","25.00"
"Hidalgo","24.24"
"Quintana Roo","24.13"
"Chihuahua","23.52"
"Baja California","19.35"
"Campeche","10.00"
"Chiapas","9.30"
"Baja California Sur","0.00"
"Nayarit","0.00"
