"Estado","% Ocupación"
"Colima","78.22"
"Tlaxcala","75.00"
"Nayarit","67.74"
"Veracruz de Ignacio de La Llave","65.76"
"Ciudad de México","62.56"
"Nuevo León","61.62"
"Jalisco","58.92"
"Oaxaca","58.91"
"Morelos","58.82"
"Hidalgo","58.78"
"México","50.82"
"Tabasco","50.24"
"San Luis Potosí","48.73"
"Aguascalientes","47.96"
"Puebla","41.54"
"Sonora","40.21"
"Tamaulipas","39.16"
"Michoacán de Ocampo","37.28"
"Yucatán","36.92"
"Coahuila de Zaragoza","36.15"
"Durango","35.77"
"Querétaro","35.65"
"Zacatecas","34.81"
"Sinaloa","34.16"
"Baja California Sur","32.58"
"Guerrero","29.80"
"Baja California","22.14"
"Quintana Roo","21.31"
"Chiapas","20.52"
"Chihuahua","18.12"
"Guanajuato","14.85"
"Campeche","10.60"
