"Estado","% Ocupación"
"Baja California Sur","71.30"
"Quintana Roo","39.47"
"Tamaulipas","34.36"
"Sonora","30.61"
"Nuevo León","29.11"
"Sinaloa","27.35"
"Tabasco","27.07"
"Nayarit","25.00"
"Yucatán","23.95"
"Ciudad de México","23.30"
"Aguascalientes","21.25"
"Durango","21.05"
"Oaxaca","18.45"
"Veracruz de Ignacio de La Llave","16.77"
"Colima","15.62"
"Hidalgo","14.84"
"Jalisco","12.12"
"Baja California","10.96"
"San Luis Potosí","10.88"
"Coahuila de Zaragoza","10.78"
"México","10.77"
"Puebla","9.58"
"Chihuahua","9.43"
"Campeche","9.19"
"Morelos","8.21"
"Guerrero","7.42"
"Michoacán de Ocampo","5.71"
"Querétaro","4.74"
"Chiapas","4.59"
"Guanajuato","3.68"
"Zacatecas","3.38"
"Tlaxcala","2.02"
