"Estado","% Ocupación"
"Ciudad de México","65.10"
"Nuevo León","64.32"
"Durango","62.38"
"Chihuahua","62.17"
"Zacatecas","61.33"
"Aguascalientes","60.55"
"San Luis Potosí","54.85"
"Querétaro","53.86"
"Hidalgo","52.78"
"Puebla","52.42"
"Coahuila de Zaragoza","50.37"
"Sonora","50.00"
"Colima","48.48"
"Tamaulipas","47.37"
"Jalisco","47.09"
"Baja California","46.70"
"México","46.56"
"Morelos","46.41"
"Nayarit","44.52"
"Sinaloa","43.76"
"Oaxaca","42.40"
"Guerrero","39.81"
"Guanajuato","38.35"
"Veracruz de Ignacio de La Llave","34.11"
"Quintana Roo","33.84"
"Baja California Sur","31.54"
"Tabasco","29.58"
"Michoacán de Ocampo","28.12"
"Tlaxcala","24.79"
"Yucatán","14.94"
"Campeche","7.27"
"Chiapas","5.92"
