"Estado","% Ocupación"
"Chihuahua","58.06"
"Aguascalientes","56.66"
"Durango","51.16"
"Querétaro","50.00"
"Zacatecas","44.44"
"Nuevo León","28.96"
"Puebla","28.26"
"Ciudad de México","25.00"
"Sinaloa","23.68"
"Baja California","20.00"
"San Luis Potosí","17.85"
"Guanajuato","16.98"
"Jalisco","15.06"
"Tamaulipas","14.51"
"Hidalgo","13.33"
"Sonora","12.00"
"México","11.11"
"Veracruz de Ignacio de La Llave","11.11"
"Coahuila de Zaragoza","11.11"
"Tabasco","5.47"
"Chiapas","4.16"
"Quintana Roo","2.27"
"Guerrero","1.23"
"Colima","0.00"
"Baja California Sur","0.00"
"Nayarit","0.00"
"Oaxaca","0.00"
"Michoacán de Ocampo","0.00"
"Yucatán","0.00"
"Tlaxcala","0.00"
"Campeche","0.00"
"Morelos","0.00"
