"Estado","% Ocupación"
"Tlaxcala","29.16"
"Querétaro","14.49"
"Nuevo León","11.59"
"Ciudad de México","10.08"
"Baja California Sur","9.52"
"Aguascalientes","8.97"
"Colima","5.88"
"Jalisco","5.74"
"Puebla","5.17"
"México","5.06"
"Hidalgo","4.81"
"Michoacán de Ocampo","4.62"
"Sonora","4.38"
"Chihuahua","4.09"
"Durango","3.65"
"Nayarit","3.33"
"Baja California","3.15"
"Tamaulipas","3.08"
"Morelos","2.08"
"San Luis Potosí","2.02"
"Sinaloa","1.90"
"Oaxaca","1.85"
"Yucatán","1.69"
"Veracruz de Ignacio de La Llave","1.47"
"Guanajuato","1.36"
"Zacatecas","0.94"
"Coahuila de Zaragoza","0.78"
"Guerrero","0.69"
"Campeche","0.00"
"Quintana Roo","0.00"
"Tabasco","0.00"
"Chiapas","0.00"
