"Estado","% Ocupación"
"Querétaro","100.00"
"Chihuahua","16.66"
"Puebla","15.00"
"Sinaloa","11.11"
"México","8.40"
"Guanajuato","8.10"
"Nuevo León","6.87"
"Ciudad de México","6.19"
"Durango","5.71"
"Zacatecas","5.55"
"Yucatán","4.00"
"Tamaulipas","3.77"
"Campeche","3.33"
"Jalisco","3.16"
"San Luis Potosí","2.94"
"Sonora","0.00"
"Morelos","0.00"
"Guerrero","0.00"
"Colima","0.00"
"Veracruz de Ignacio de La Llave","0.00"
"Tlaxcala","0.00"
"Tabasco","0.00"
"Coahuila de Zaragoza","0.00"
"Baja California Sur","0.00"
"Quintana Roo","0.00"
"Baja California","0.00"
"Nayarit","0.00"
"Michoacán de Ocampo","0.00"
"Oaxaca","0.00"
"Hidalgo","0.00"
"Chiapas","0.00"
"Aguascalientes","0.00"
