"Estado","% Ocupación"
"Colima","71.23"
"Ciudad de México","67.45"
"Hidalgo","65.85"
"Nayarit","64.34"
"Oaxaca","64.00"
"Nuevo León","63.94"
"Durango","63.49"
"Tlaxcala","61.90"
"Jalisco","55.97"
"Veracruz de Ignacio de La Llave","53.77"
"Sinaloa","51.86"
"México","50.90"
"Tabasco","47.20"
"Sonora","41.24"
"Guerrero","41.12"
"Puebla","38.81"
"Baja California Sur","35.29"
"Michoacán de Ocampo","34.82"
"Querétaro","34.02"
"Yucatán","33.71"
"Aguascalientes","33.05"
"Zacatecas","31.29"
"Morelos","29.87"
"Tamaulipas","29.27"
"San Luis Potosí","24.03"
"Quintana Roo","24.00"
"Chiapas","20.00"
"Campeche","18.26"
"Baja California","17.76"
"Coahuila de Zaragoza","16.12"
"Chihuahua","14.02"
"Guanajuato","10.33"
