"Estado","% Ocupación"
"Oaxaca","28.81"
"Ciudad de México","28.55"
"Aguascalientes","27.63"
"Querétaro","21.73"
"Tlaxcala","21.33"
"Nuevo León","20.53"
"Jalisco","19.85"
"México","19.62"
"Tamaulipas","17.51"
"Colima","16.90"
"Baja California","16.16"
"Morelos","15.78"
"Durango","14.28"
"Tabasco","13.63"
"Michoacán de Ocampo","13.33"
"Veracruz de Ignacio de La Llave","13.01"
"Puebla","13.01"
"Baja California Sur","11.90"
"Nayarit","11.62"
"Sinaloa","10.06"
"Chihuahua","10.00"
"San Luis Potosí","9.92"
"Sonora","9.86"
"Zacatecas","7.20"
"Yucatán","7.02"
"Guerrero","6.11"
"Guanajuato","5.81"
"Coahuila de Zaragoza","5.36"
"Hidalgo","5.35"
"Campeche","4.23"
"Chiapas","3.75"
"Quintana Roo","1.57"
