"Estado","% Ocupación"
"Baja California Sur","65.12"
"Quintana Roo","41.93"
"Tamaulipas","32.89"
"Sinaloa","32.21"
"Sonora","29.94"
"Tabasco","29.54"
"Nayarit","26.60"
"Ciudad de México","24.08"
"Yucatán","23.50"
"Nuevo León","23.08"
"Durango","21.34"
"Aguascalientes","19.65"
"Veracruz de Ignacio de La Llave","18.97"
"Baja California","16.40"
"Oaxaca","16.00"
"Jalisco","14.79"
"Campeche","14.61"
"Hidalgo","14.33"
"Colima","13.26"
"México","13.06"
"San Luis Potosí","10.91"
"Morelos","10.75"
"Puebla","10.45"
"Chihuahua","8.85"
"Coahuila de Zaragoza","8.67"
"Guerrero","7.58"
"Michoacán de Ocampo","6.13"
"Querétaro","5.41"
"Zacatecas","4.12"
"Chiapas","4.09"
"Guanajuato","3.41"
"Tlaxcala","0.67"
