"Estado","% Ocupación"
"Baja California","50.38"
"Aguascalientes","37.27"
"Chihuahua","36.31"
"Sonora","34.81"
"Nuevo León","33.16"
"Guanajuato","30.87"
"Morelos","30.37"
"Querétaro","29.03"
"Puebla","28.84"
"Coahuila de Zaragoza","28.40"
"Durango","28.20"
"Jalisco","27.31"
"Sinaloa","24.59"
"Michoacán de Ocampo","23.42"
"Quintana Roo","23.20"
"San Luis Potosí","23.02"
"Oaxaca","22.44"
"Nayarit","20.75"
"Ciudad de México","19.11"
"Tamaulipas","18.54"
"México","18.42"
"Veracruz de Ignacio de La Llave","18.15"
"Tabasco","18.01"
"Hidalgo","17.70"
"Zacatecas","17.34"
"Guerrero","16.23"
"Colima","14.59"
"Tlaxcala","11.40"
"Baja California Sur","10.11"
"Chiapas","8.54"
"Yucatán","7.22"
"Campeche","4.54"
