"Estado","% Ocupación"
"Durango","25.00"
"Colima","16.66"
"Nuevo León","12.71"
"Nayarit","11.62"
"Baja California Sur","10.86"
"Sinaloa","8.41"
"Ciudad de México","7.46"
"Guerrero","7.31"
"Oaxaca","6.79"
"Tamaulipas","6.71"
"Veracruz de Ignacio de La Llave","5.44"
"Aguascalientes","5.26"
"Quintana Roo","5.03"
"Jalisco","4.61"
"Querétaro","3.96"
"Hidalgo","3.54"
"Coahuila de Zaragoza","2.83"
"Zacatecas","2.56"
"Chihuahua","2.50"
"Sonora","2.12"
"México","2.04"
"Guanajuato","1.99"
"San Luis Potosí","1.76"
"Michoacán de Ocampo","1.63"
"Morelos","1.52"
"Yucatán","1.39"
"Baja California","1.20"
"Puebla","1.18"
"Tabasco","0.57"
"Chiapas","0.00"
"Tlaxcala","0.00"
"Campeche","0.00"
