"Estado","% Ocupación"
"Aguascalientes","48.32"
"Puebla","48.24"
"Morelos","48.19"
"Tamaulipas","41.50"
"Hidalgo","40.77"
"Tlaxcala","40.29"
"Michoacán de Ocampo","40.00"
"Nayarit","39.86"
"Oaxaca","37.44"
"Chihuahua","37.38"
"Ciudad de México","36.67"
"Nuevo León","36.31"
"Sinaloa","36.30"
"San Luis Potosí","34.93"
"Veracruz de Ignacio de La Llave","34.05"
"México","34.03"
"Jalisco","33.88"
"Tabasco","32.86"
"Guanajuato","32.83"
"Durango","32.43"
"Sonora","32.17"
"Querétaro","31.16"
"Coahuila de Zaragoza","30.32"
"Baja California","28.54"
"Colima","26.02"
"Zacatecas","25.26"
"Guerrero","23.38"
"Quintana Roo","20.08"
"Yucatán","16.31"
"Chiapas","11.00"
"Campeche","9.22"
"Baja California Sur","4.39"
