"Estado","% Ocupación"
"Nayarit","18.18"
"Oaxaca","14.89"
"Baja California Sur","13.23"
"Durango","12.12"
"Chihuahua","10.71"
"Sinaloa","10.28"
"Colima","9.83"
"Aguascalientes","9.52"
"Nuevo León","8.22"
"Querétaro","7.76"
"Guerrero","7.31"
"Tamaulipas","6.69"
"Sonora","5.68"
"Ciudad de México","5.24"
"Jalisco","4.84"
"Tlaxcala","4.54"
"Coahuila de Zaragoza","2.83"
"Veracruz de Ignacio de La Llave","2.73"
"Zacatecas","2.56"
"Quintana Roo","2.25"
"Guanajuato","1.87"
"Tabasco","1.73"
"Puebla","1.68"
"Morelos","1.53"
"México","1.48"
"Yucatán","1.40"
"Michoacán de Ocampo","1.38"
"San Luis Potosí","1.32"
"Baja California","1.20"
"Campeche","0.34"
"Chiapas","0.00"
"Hidalgo","0.00"
