"Estado","% Ocupación"
"Durango","71.42"
"Hidalgo","68.61"
"Puebla","68.57"
"Tlaxcala","68.50"
"San Luis Potosí","64.25"
"Nuevo León","63.07"
"Ciudad de México","62.17"
"Veracruz de Ignacio de La Llave","61.65"
"Tabasco","61.64"
"Oaxaca","61.17"
"Aguascalientes","60.69"
"Colima","58.11"
"Morelos","56.81"
"México","55.06"
"Zacatecas","53.76"
"Michoacán de Ocampo","52.95"
"Jalisco","51.36"
"Querétaro","50.93"
"Sonora","49.29"
"Tamaulipas","45.38"
"Coahuila de Zaragoza","45.16"
"Guerrero","45.11"
"Nayarit","42.20"
"Quintana Roo","40.10"
"Guanajuato","34.44"
"Sinaloa","34.17"
"Baja California","32.39"
"Baja California Sur","25.00"
"Campeche","22.04"
"Yucatán","21.91"
"Chiapas","17.18"
"Chihuahua","16.43"
