"Estado","% Ocupación"
"Querétaro","100.00"
"Aguascalientes","55.00"
"Ciudad de México","38.78"
"Nuevo León","33.00"
"Puebla","31.34"
"Michoacán de Ocampo","25.00"
"Tabasco","24.00"
"México","22.83"
"Jalisco","22.08"
"Veracruz de Ignacio de La Llave","21.66"
"Oaxaca","21.05"
"San Luis Potosí","14.28"
"Chihuahua","12.82"
"Tamaulipas","12.69"
"Yucatán","12.00"
"Sinaloa","10.52"
"Zacatecas","10.00"
"Coahuila de Zaragoza","9.09"
"Baja California","6.66"
"Guanajuato","5.66"
"Guerrero","5.26"
"Campeche","5.26"
"Durango","4.44"
"Hidalgo","0.00"
"Colima","0.00"
"Sonora","0.00"
"Baja California Sur","0.00"
"Morelos","0.00"
"Nayarit","0.00"
"Quintana Roo","0.00"
"Tlaxcala","0.00"
"Chiapas","0.00"
