"Estado","% Ocupación"
"Nayarit","4.54"
"Chihuahua","4.34"
"Sinaloa","2.98"
"Tabasco","2.91"
"Nuevo León","2.25"
"Yucatán","2.05"
"Oaxaca","1.92"
"Tamaulipas","1.69"
"Michoacán de Ocampo","1.55"
"Jalisco","1.47"
"México","1.37"
"Ciudad de México","1.37"
"Veracruz de Ignacio de La Llave","1.30"
"Guanajuato","0.64"
"Baja California","0.53"
"Quintana Roo","0.00"
"Guerrero","0.00"
"Campeche","0.00"
"Querétaro","0.00"
"Durango","0.00"
"Tlaxcala","0.00"
"Chiapas","0.00"
"Hidalgo","0.00"
"Aguascalientes","0.00"
"Sonora","0.00"
"Morelos","0.00"
"Zacatecas","0.00"
"Colima","0.00"
"San Luis Potosí","0.00"
"Puebla","0.00"
"Coahuila de Zaragoza","0.00"
"Baja California Sur","0.00"
