"Estado","% Ocupación"
"Chihuahua","45.23"
"Aguascalientes","33.33"
"Baja California","33.23"
"Sonora","27.77"
"Durango","25.33"
"Puebla","14.76"
"San Luis Potosí","14.01"
"Coahuila de Zaragoza","13.81"
"Nuevo León","13.01"
"Ciudad de México","12.32"
"Oaxaca","10.00"
"Querétaro","9.77"
"Tlaxcala","9.45"
"Sinaloa","9.37"
"Zacatecas","9.17"
"Tamaulipas","8.69"
"México","8.09"
"Jalisco","7.56"
"Hidalgo","7.54"
"Colima","6.89"
"Guanajuato","6.25"
"Yucatán","5.97"
"Baja California Sur","5.60"
"Michoacán de Ocampo","4.04"
"Veracruz de Ignacio de La Llave","3.68"
"Nayarit","3.50"
"Tabasco","3.15"
"Chiapas","1.14"
"Guerrero","1.04"
"Quintana Roo","1.00"
"Morelos","0.00"
"Campeche","0.00"
