"Estado","% Ocupación"
"Querétaro","83.33"
"Oaxaca","66.66"
"Zacatecas","66.66"
"Aguascalientes","51.61"
"Guanajuato","49.09"
"Durango","46.51"
"Yucatán","46.42"
"Coahuila de Zaragoza","40.00"
"Puebla","39.21"
"Jalisco","33.13"
"México","27.45"
"Michoacán de Ocampo","26.66"
"Sonora","26.19"
"Ciudad de México","25.00"
"Chihuahua","24.24"
"Campeche","23.07"
"Colima","23.07"
"Chiapas","22.72"
"Nuevo León","22.11"
"Tabasco","21.42"
"Tamaulipas","20.58"
"San Luis Potosí","20.51"
"Veracruz de Ignacio de La Llave","16.12"
"Baja California","14.28"
"Sinaloa","13.63"
"Hidalgo","7.14"
"Quintana Roo","6.12"
"Guerrero","2.63"
"Nayarit","0.00"
"Tlaxcala","0.00"
"Baja California Sur","0.00"
"Morelos","0.00"
