"Estado","% Ocupación"
"Durango","66.66"
"Puebla","63.36"
"Veracruz de Ignacio de La Llave","58.81"
"Tabasco","56.96"
"Nuevo León","53.72"
"Hidalgo","53.37"
"Tlaxcala","53.17"
"Ciudad de México","51.28"
"Oaxaca","50.85"
"Morelos","50.31"
"Aguascalientes","49.76"
"México","46.61"
"Michoacán de Ocampo","46.06"
"Colima","45.26"
"Zacatecas","42.70"
"Tamaulipas","42.13"
"Baja California","41.46"
"Sonora","41.15"
"Querétaro","40.47"
"Jalisco","39.89"
"San Luis Potosí","38.40"
"Coahuila de Zaragoza","37.68"
"Nayarit","34.70"
"Guanajuato","33.57"
"Quintana Roo","28.19"
"Guerrero","27.04"
"Sinaloa","23.53"
"Yucatán","20.96"
"Baja California Sur","19.32"
"Campeche","17.96"
"Chiapas","16.44"
"Chihuahua","14.10"
