"Estado","% Ocupación"
"Colima","71.15"
"Tabasco","63.68"
"Ciudad de México","62.47"
"Oaxaca","62.29"
"Jalisco","61.02"
"Nuevo León","60.45"
"Hidalgo","54.71"
"Nayarit","53.38"
"Veracruz de Ignacio de La Llave","52.12"
"Aguascalientes","52.03"
"San Luis Potosí","47.19"
"México","47.02"
"Tlaxcala","41.93"
"Durango","41.66"
"Puebla","40.84"
"Morelos","39.50"
"Michoacán de Ocampo","38.67"
"Tamaulipas","36.51"
"Yucatán","34.94"
"Coahuila de Zaragoza","34.39"
"Querétaro","32.69"
"Zacatecas","32.59"
"Sinaloa","32.14"
"Sonora","31.37"
"Guerrero","30.95"
"Baja California","24.27"
"Quintana Roo","24.05"
"Baja California Sur","21.22"
"Chihuahua","20.75"
"Chiapas","18.48"
"Guanajuato","14.61"
"Campeche","14.38"
