"Estado","% Ocupación"
"Colima","100.00"
"Querétaro","95.00"
"Yucatán","73.91"
"Oaxaca","67.56"
"Durango","63.82"
"Tlaxcala","62.50"
"Michoacán de Ocampo","61.53"
"Zacatecas","61.11"
"Tabasco","60.16"
"Puebla","59.18"
"Aguascalientes","58.06"
"Ciudad de México","57.29"
"Nuevo León","55.16"
"Tamaulipas","53.75"
"Guanajuato","52.54"
"Jalisco","49.63"
"San Luis Potosí","49.01"
"Veracruz de Ignacio de La Llave","48.57"
"México","40.90"
"Sonora","36.11"
"Quintana Roo","33.33"
"Morelos","30.30"
"Baja California","29.41"
"Hidalgo","27.27"
"Sinaloa","24.39"
"Chiapas","21.27"
"Guerrero","19.71"
"Coahuila de Zaragoza","18.18"
"Campeche","15.62"
"Chihuahua","13.04"
"Baja California Sur","0.00"
"Nayarit","0.00"
