"Estado","% Ocupación"
"Tlaxcala","34.48"
"Querétaro","24.35"
"Aguascalientes","19.44"
"Ciudad de México","17.89"
"Oaxaca","17.24"
"Morelos","17.24"
"Nuevo León","15.62"
"Veracruz de Ignacio de La Llave","12.06"
"Puebla","11.02"
"Jalisco","10.73"
"Michoacán de Ocampo","10.63"
"México","9.48"
"Sonora","8.92"
"Tamaulipas","8.55"
"Hidalgo","7.36"
"Yucatán","6.95"
"Baja California","6.72"
"Coahuila de Zaragoza","6.42"
"Colima","6.06"
"Zacatecas","5.17"
"Chihuahua","4.70"
"Nayarit","4.44"
"Guanajuato","3.95"
"Sinaloa","3.61"
"San Luis Potosí","3.22"
"Guerrero","2.89"
"Tabasco","2.28"
"Baja California Sur","2.17"
"Chiapas","1.88"
"Campeche","1.78"
"Quintana Roo","1.20"
"Durango","0.89"
