"Estado","% Ocupación"
"Tlaxcala","16.00"
"Nayarit","8.33"
"Aguascalientes","5.17"
"Ciudad de México","4.29"
"Yucatán","3.96"
"Sonora","3.65"
"Chihuahua","3.44"
"Jalisco","3.24"
"Oaxaca","2.70"
"Coahuila de Zaragoza","2.32"
"Puebla","1.90"
"Colima","1.88"
"México","1.72"
"Hidalgo","1.25"
"Veracruz de Ignacio de La Llave","1.01"
"San Luis Potosí","0.98"
"Zacatecas","0.90"
"Guanajuato","0.75"
"Nuevo León","0.58"
"Tamaulipas","0.52"
"Chiapas","0.39"
"Guerrero","0.00"
"Durango","0.00"
"Campeche","0.00"
"Querétaro","0.00"
"Tabasco","0.00"
"Baja California Sur","0.00"
"Quintana Roo","0.00"
"Baja California","0.00"
"Michoacán de Ocampo","0.00"
"Sinaloa","0.00"
"Morelos","0.00"
