"Estado","% Ocupación"
"Baja California Sur","55.37"
"Yucatán","51.87"
"Sinaloa","38.13"
"Oaxaca","35.06"
"Sonora","30.92"
"Ciudad de México","30.57"
"Nayarit","28.33"
"Tabasco","26.76"
"Nuevo León","22.04"
"Veracruz de Ignacio de La Llave","20.66"
"Guerrero","20.00"
"Quintana Roo","19.44"
"Colima","18.96"
"Durango","18.05"
"Tamaulipas","16.50"
"Campeche","15.21"
"Hidalgo","14.75"
"Jalisco","13.80"
"México","13.24"
"Tlaxcala","12.82"
"Baja California","12.13"
"Morelos","8.88"
"Michoacán de Ocampo","8.67"
"San Luis Potosí","7.35"
"Aguascalientes","7.29"
"Chiapas","6.79"
"Chihuahua","6.54"
"Puebla","5.99"
"Guanajuato","2.49"
"Querétaro","2.47"
"Zacatecas","2.30"
"Coahuila de Zaragoza","1.73"
