"Estado","% Ocupación"
"Nayarit","100.00"
"Yucatán","89.65"
"Quintana Roo","48.78"
"Tamaulipas","44.44"
"Oaxaca","40.00"
"Sonora","38.29"
"Tabasco","33.33"
"Hidalgo","33.33"
"Nuevo León","31.72"
"Veracruz de Ignacio de La Llave","31.11"
"Sinaloa","29.72"
"Baja California Sur","28.57"
"Querétaro","22.72"
"México","22.52"
"Puebla","21.73"
"Zacatecas","16.66"
"Campeche","15.62"
"Baja California","15.38"
"Jalisco","14.57"
"Ciudad de México","12.96"
"Aguascalientes","12.90"
"Durango","10.63"
"Michoacán de Ocampo","7.69"
"Chihuahua","7.14"
"Guanajuato","5.35"
"San Luis Potosí","4.34"
"Guerrero","3.44"
"Chiapas","2.12"
"Colima","0.00"
"Morelos","0.00"
"Tlaxcala","0.00"
"Coahuila de Zaragoza","0.00"
