"Estado","% Ocupación"
"Querétaro","90.00"
"Yucatán","90.00"
"Zacatecas","83.33"
"Oaxaca","65.71"
"Tlaxcala","62.50"
"Tabasco","61.78"
"Morelos","60.00"
"Aguascalientes","59.37"
"Michoacán de Ocampo","53.84"
"Durango","53.19"
"Nuevo León","52.57"
"Ciudad de México","52.50"
"Tamaulipas","51.75"
"México","50.52"
"Guanajuato","48.21"
"San Luis Potosí","45.65"
"Veracruz de Ignacio de La Llave","44.55"
"Jalisco","42.90"
"Puebla","41.33"
"Hidalgo","33.33"
"Sinaloa","30.76"
"Sonora","27.65"
"Chihuahua","24.19"
"Baja California","23.52"
"Chiapas","19.56"
"Quintana Roo","16.66"
"Guerrero","14.63"
"Campeche","10.00"
"Colima","0.00"
"Baja California Sur","0.00"
"Coahuila de Zaragoza","0.00"
"Nayarit","0.00"
