"Estado","% Ocupación"
"Yucatán","55.17"
"Baja California Sur","54.78"
"Oaxaca","36.00"
"Ciudad de México","32.59"
"Sinaloa","32.31"
"Tabasco","28.48"
"Sonora","27.48"
"Nayarit","25.00"
"Colima","20.33"
"Nuevo León","20.00"
"Veracruz de Ignacio de La Llave","19.26"
"Quintana Roo","18.69"
"Tamaulipas","17.78"
"Durango","17.24"
"Baja California","13.61"
"Campeche","13.13"
"México","11.55"
"Jalisco","11.24"
"Michoacán de Ocampo","10.88"
"Guerrero","10.11"
"San Luis Potosí","8.40"
"Tlaxcala","8.21"
"Chiapas","7.38"
"Hidalgo","7.27"
"Aguascalientes","7.14"
"Morelos","6.52"
"Puebla","5.72"
"Chihuahua","5.29"
"Zacatecas","3.07"
"Querétaro","2.82"
"Guanajuato","2.21"
"Coahuila de Zaragoza","0.88"
