"Estado","% Ocupación"
"Chihuahua","74.28"
"Baja California","60.00"
"Aguascalientes","54.83"
"Querétaro","50.00"
"Sonora","50.00"
"Durango","42.55"
"Zacatecas","38.88"
"Nuevo León","26.05"
"Puebla","23.91"
"San Luis Potosí","20.68"
"Ciudad de México","20.38"
"Tamaulipas","14.92"
"México","14.00"
"Sinaloa","12.00"
"Tabasco","11.76"
"Coahuila de Zaragoza","11.11"
"Guanajuato","9.43"
"Veracruz de Ignacio de La Llave","8.92"
"Jalisco","7.26"
"Hidalgo","6.66"
"Chiapas","2.56"
"Guerrero","1.23"
"Baja California Sur","0.00"
"Quintana Roo","0.00"
"Yucatán","0.00"
"Tlaxcala","0.00"
"Campeche","0.00"
"Morelos","0.00"
"Nayarit","0.00"
"Colima","0.00"
"Michoacán de Ocampo","0.00"
"Oaxaca","0.00"
