"Estado","% Ocupación"
"Chihuahua","18.18"
"México","12.50"
"Michoacán de Ocampo","9.09"
"Yucatán","5.55"
"Campeche","5.26"
"Zacatecas","5.26"
"Jalisco","4.67"
"Tamaulipas","4.00"
"Puebla","1.96"
"Ciudad de México","1.29"
"Querétaro","0.00"
"Tabasco","0.00"
"Coahuila de Zaragoza","0.00"
"Baja California Sur","0.00"
"Quintana Roo","0.00"
"Colima","0.00"
"Guerrero","0.00"
"Nayarit","0.00"
"Durango","0.00"
"Oaxaca","0.00"
"Nuevo León","0.00"
"Chiapas","0.00"
"Hidalgo","0.00"
"Sinaloa","0.00"
"Aguascalientes","0.00"
"Guanajuato","0.00"
"Morelos","0.00"
"Sonora","0.00"
"San Luis Potosí","0.00"
"Baja California","0.00"
"Veracruz de Ignacio de La Llave","0.00"
"Tlaxcala","0.00"
