"Estado","% Ocupación"
"Aguascalientes","40.54"
"Nuevo León","39.14"
"Tlaxcala","24.24"
"Baja California Sur","23.37"
"Querétaro","22.80"
"Ciudad de México","22.69"
"Colima","21.73"
"Chihuahua","19.18"
"Sinaloa","17.84"
"Hidalgo","17.69"
"Durango","16.66"
"Veracruz de Ignacio de La Llave","15.56"
"Puebla","15.34"
"Oaxaca","14.00"
"Zacatecas","13.95"
"Sonora","13.04"
"Jalisco","12.84"
"México","11.55"
"Coahuila de Zaragoza","11.11"
"Tamaulipas","11.08"
"Michoacán de Ocampo","10.84"
"Baja California","10.11"
"San Luis Potosí","10.08"
"Nayarit","8.88"
"Morelos","7.93"
"Guanajuato","4.94"
"Quintana Roo","4.89"
"Guerrero","4.60"
"Tabasco","4.45"
"Chiapas","4.25"
"Yucatán","2.72"
"Campeche","1.47"
