"Estado","% Ocupación"
"Baja California Sur","54.34"
"Ciudad de México","47.56"
"Yucatán","46.66"
"Sinaloa","43.49"
"Colima","42.22"
"Nuevo León","41.17"
"Oaxaca","38.77"
"Tabasco","32.16"
"Nayarit","32.00"
"Sonora","31.81"
"Guerrero","31.49"
"Veracruz de Ignacio de La Llave","31.20"
"Jalisco","26.41"
"México","24.80"
"Tamaulipas","21.36"
"Quintana Roo","21.31"
"Hidalgo","20.51"
"Durango","18.91"
"Campeche","17.93"
"Michoacán de Ocampo","17.32"
"Baja California","16.86"
"Chiapas","12.45"
"Puebla","11.62"
"Tlaxcala","10.60"
"Querétaro","9.79"
"San Luis Potosí","9.16"
"Aguascalientes","6.31"
"Chihuahua","4.87"
"Zacatecas","3.84"
"Coahuila de Zaragoza","3.28"
"Morelos","2.89"
"Guanajuato","2.76"
