"Estado","% Ocupación"
"Nuevo León","15.36"
"Durango","11.86"
"Aguascalientes","10.81"
"Sinaloa","9.77"
"Tlaxcala","8.51"
"Chihuahua","8.21"
"Baja California Sur","7.24"
"Oaxaca","6.55"
"Guerrero","5.26"
"Tamaulipas","5.24"
"Sonora","4.34"
"Puebla","4.31"
"Veracruz de Ignacio de La Llave","3.79"
"Hidalgo","3.44"
"Colima","3.22"
"Jalisco","3.12"
"Guanajuato","3.00"
"México","2.67"
"Coahuila de Zaragoza","2.59"
"Nayarit","2.50"
"Baja California","2.45"
"Ciudad de México","2.40"
"Zacatecas","2.17"
"Morelos","1.87"
"San Luis Potosí","1.78"
"Yucatán","0.94"
"Quintana Roo","0.75"
"Michoacán de Ocampo","0.25"
"Chiapas","0.00"
"Campeche","0.00"
"Querétaro","0.00"
"Tabasco","0.00"
